Scheme Name,Category,Regular Plan - Growth (ISIN),Regular Plan - IDCW (ISIN)
Helios Flexi Cap Fund,Equity (Flexi Cap),INF0R8701012,INF0R8701020
Helios Overnight Fund,Debt (Overnight),INF0R8701095,INF0R8701103
Helios Balanced Advantage Fund,Hybrid (Dynamic),INF0R8701111,INF0R8701129
Helios Financial Services Fund,Equity (Sectoral),INF0R8701178,INF0R8701186
Helios Large & Mid Cap Fund,Equity (Large & Mid),INF0R8701236,INF0R8701244
Helios Mid Cap Fund,Equity (Mid Cap),INF0R8701319,INF0R8701335
