Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
TRUSTMF Flexi Cap Fund,Equity (Flexi Cap),152646,152644
TRUSTMF Banking & PSU Debt Fund,Debt (Banking & PSU),148827,148828
TRUSTMF Liquid Fund,Debt (Liquid),149102,149103 (Daily)
TRUSTMF Short Duration Fund,Debt (Short Duration),149340,149341
TRUSTMF Overnight Fund,Debt (Overnight),151221,151222
TRUSTMF Money Market Fund,Debt (Money Market),151829,151830
TRUSTMF Corporate Bond Fund,Debt (Corporate Bond),152349,152347
