Scheme Name,Category,Regular Plan - Growth (ISIN),Regular Plan - IDCW (ISIN)
Samco Flexi Cap Fund,Equity (Flexi Cap),INF0K1H01016,N/A
Samco ELSS Tax Saver Fund,Equity (ELSS),INF0K1H01057,N/A
Samco Active Momentum Fund,Equity (Thematic),INF0K1H01073,N/A
Samco Overnight Fund,Debt (Overnight),INF0K1H01032,N/A
Samco Dynamic Asset Allocation Fund,Hybrid (Dynamic),INF0K1H01099,N/A
Samco Special Opportunities Fund,Equity (Thematic),INF0K1H01172,N/A
