Scheme Name,Category,Regular Plan - Growth (ISIN),Regular Plan - IDCW (ISIN)
Old Bridge Focused Fund,Equity (Focused),INF0S5R01034,INF0S5R01026*
Old Bridge Arbitrage Fund,Hybrid (Arbitrage),INF0S5R01091,INF0S5R01109
Old Bridge Flexi Cap Fund,Equity (Flexi Cap),NFO / Launching Soon,NFO / Launching Soon
