Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
NJ Balanced Advantage Fund,Hybrid (Dynamic),149266,149263
NJ Flexi Cap Fund,Equity (Flexi Cap),151920,151919
NJ ELSS Tax Saver Scheme,Equity (ELSS),151609,151610
NJ Arbitrage Fund,Hybrid (Arbitrage),150366,N/A
NJ Overnight Fund,Debt (Overnight),150368,N/A
