Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Unifi Flexi Cap Fund,Equity (Flexi Cap),153542,N/A*
Unifi Dynamic Asset Allocation Fund,Hybrid (Dynamic),153377,N/A*
Unifi Liquid Fund,Debt (Liquid),INF1MIY01064 (ISIN),N/A*
