Scheme Name,Category,Regular Plan - Growth (ISIN),Regular Plan - IDCW (ISIN)
Shriram Flexi Cap Fund,Equity (Flexi Cap),INF680P01109*,INF680P01117
Shriram ELSS Tax Saver Fund,Equity (ELSS),INF680P01133,INF680P01141
Shriram Aggressive Hybrid Fund,Hybrid (Aggressive),INF680P01034,INF680P01018
Shriram Balanced Advantage Fund,Hybrid (Dynamic),INF680P01174,INF680P01182
Shriram Multi Asset Allocation Fund,Hybrid,INF680P01414,INF680P01422
Shriram Liquid Fund,Debt (Liquid),INF680P01448,INF680P01455
Shriram Overnight Fund,Debt (Overnight),INF680P01307,INF680P01315
