Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Angel One Nifty 50 Index Fund,Equity (Index),153530,N/A
Angel One Nifty Total Market Index Fund,Equity (Index),153331,N/A
Angel One Gold ETF FoF,Hybrid (FoF),153828,N/A
