Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Parag Parikh Flexi Cap Fund,Equity (Flexi Cap),122639,122641
Parag Parikh ELSS Tax Saver Fund,Equity (ELSS),147551,147553
Parag Parikh Conservative Hybrid Fund,Hybrid (Conservative),149127,149129 (Monthly)
Parag Parikh Dynamic Asset Allocation Fund,Hybrid (Dynamic),152601,152603
Parag Parikh Arbitrage Fund,Hybrid (Arbitrage),152202,152204
Parag Parikh Liquid Fund,Debt (Liquid),143229,143232 (Monthly)
