Scheme Name,Category,Regular Plan - Growth,Regular Plan - IDCW
Navi Nifty 50 Index Fund,Equity (Index),149040,N/A
Navi Nifty Next 50 Index Fund,Equity (Index),149448,N/A
Navi US Total Stock Market FoF,Equity (International),149831,N/A
Navi Nasdaq 100 Fund of Fund,Equity (International),149911,N/A
Navi ELSS Tax Saver Fund,Equity (ELSS),135655,135652
Navi Flexi Cap Fund,Equity (Flexi Cap),143787,143794
Navi Large & Midcap Fund,Equity (Large & Mid),135678,141410
Navi Aggressive Hybrid Fund,Hybrid (Aggressive),143162,143189
Navi Liquid Fund,Debt (Liquid),112636,"112647 (Monthly)

112645 (Daily)"
