Category,Multi Asset Allocation,Mutual Fund,Scheme Name,Scheme Code,Primary Benchmark (Most Common)
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Business Cycle Fund - Growth Option,150803,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Business Cycle Fund - IDCW Option,150806,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Defence Fund - Growth Option,151751,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Defence Fund - IDCW Option,151748,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Housing Opportunities Fund  - Growth Option,141923,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Housing Opportunities Fund  - IDCW Option,141922,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Infrastructure Fund - Growth Plan,107524,NIFTY Infrastructure TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Infrastructure Fund - IDCW Plan,107525,NIFTY Infrastructure TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC INNOVATION FUND - IDCW - REGULAR PLAN,153647,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC INNOVATION FUND - REGULAR PLAN - GROWTH OPTION,153619,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Manufacturing fund - Growth Option - Regular Plan,152602,NIFTY India Manufacturing TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Manufacturing fund - IDCW - Regular Plan,152601,NIFTY India Manufacturing TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC MNC Fund - Growth Option,151457,NIFTY MNC TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC MNC Fund - IDCW Option,151459,NIFTY MNC TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Non-Cyclical Consumer Fund - Growth Option,151803,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Non-Cyclical Consumer Fund - IDCW Option,151802,NIFTY 500 TRI
Equity Scheme,Sectoral/ Thematic,HDFC,HDFC Pharma and Healthcare Fund - Growth Option,152084,NIFTY 500 TRI
