Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,ISIN,Scheme Code,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Sortino Ratio,Std Dev,Mean Return (%),Alpha Score (/12),Beta Score (/6),Sharpe Score (/12),Sortino Score (/4),Std Dev Score (/6),VR Stars,Score (/40),Risk Category,Fund Rating,Top Holdings Count,Fund URL
ICICI Pru Gold ETF,commodity,Commodities: Gold,Direct,44.76,36.24,25.68,Domestic Prices of Gold*,INF109K01U92,120685,45.49,37.14,26.64,-0.23,0.97,1.39,2.43,19.81,33.29,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/11347/
Invesco India Gold ETF,commodity,Commodities: Gold,Direct,44.56,36.15,25.69,Domestic Prices of Gold*,INF205K01NJ9,120531,45.49,37.14,26.64,-1.72,1.03,1.32,2.47,21.05,33.51,4,3,10,3,2,,22,Moderate Risk,Average,0,https://www.valueresearchonline.com/funds/10862/
Invesco India Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,43.44,35.26,25.26,Domestic Prices of Gold*,,,45.49,37.14,26.64,1.04,0.9,1.46,2.34,18.35,32.46,6,4,10,3,2,3,25,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/16767/
Kotak Gold ETF,commodity,Commodities: Gold,Direct,44.71,36.15,25.6,Domestic Prices of Gold*,,,45.49,37.14,26.64,-0.3,0.97,1.39,2.42,19.82,33.22,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/5341/
Kotak Gold Dir,commodity,Commodities: Gold,Direct,44.51,35.92,25.27,Domestic Prices of Gold*,,,45.49,37.14,26.64,2.72,0.85,1.53,2.27,17.72,32.76,8,5,12,3,2,3,30,Low Risk,Average,1,https://www.valueresearchonline.com/funds/16358/
Kotak Gold Silver Passive FoF Dir,commodity,Commodities: Gold,Direct,,,,Commodities: Gold & Silver*,INF174KA1XT4,153921,,,,,,,,,,,,,,,,,,,2,https://www.valueresearchonline.com/funds/45551/
LIC MF Gold ETF,commodity,Commodities: Gold,Direct,44.61,36.38,26.01,Domestic Prices of Gold*,INF397L01BU4,151974,45.49,37.14,26.64,1.52,0.91,1.46,2.24,19,33.37,8,4,10,3,2,,27,Low Risk,Good,1,https://www.valueresearchonline.com/funds/13461/
LIC MF Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,43.37,36.09,25.68,Domestic Prices of Gold*,,,45.49,37.14,26.64,0.69,0.93,1.42,2.29,19.31,33.05,6,4,10,3,2,2,25,Moderate Risk,Poor,1,https://www.valueresearchonline.com/funds/16496/
Mirae Asset Gold ETF,commodity,Commodities: Gold,Direct,44.57,36.16,,Domestic Prices of Gold*,INF769K01MV1,153007,45.49,37.14,,-0.13,0.96,1.4,2.43,19.68,33.2,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/43168/
Mirae Asset Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,44.05,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,3,,,Average,1,https://www.valueresearchonline.com/funds/44666/
Mirae Asset Gold Silver Passive FoF Dir,commodity,Commodities: Gold,Direct,64.7,,,Commodities: Gold & Silver*,INF769K01PM3,153812,65.21,,,,,,,,,,,,,,,,,,2,https://www.valueresearchonline.com/funds/45451/
Motilal Oswal Gold and Silver Passive FoF Dir,commodity,Commodities: Gold,Direct,54.38,38.11,,Commodities: Gold & Silver*,,,65.21,40.99,,,,,1.94,,,,,,3,,,3,High Risk,Poor,2,https://www.valueresearchonline.com/funds/42571/
Motilal Oswal Gold ETF,commodity,Commodities: Gold,Direct,44.02,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45416/
Nippon India ETF Gold BeES,commodity,Commodities: Gold,Direct,44.35,35.91,25.39,Domestic Prices of Gold*,,,45.49,37.14,26.64,-0.52,0.97,1.38,2.4,19.85,33.04,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/4957/
Nippon India Gold Savings Dir,commodity,Commodities: Gold,Direct,44.03,35.87,25.25,Domestic Prices of Gold*,INF204K01YC4,118663,45.49,37.14,26.64,-0.66,0.97,1.38,2.39,19.83,32.99,4,3,10,3,2,2,22,Moderate Risk,Poor,1,https://www.valueresearchonline.com/funds/16080/
Quantum Gold,commodity,Commodities: Gold,Direct,44.97,36.14,25.59,Domestic Prices of Gold*,,,45.49,37.14,26.64,-0.94,1,1.36,2.48,20.42,33.4,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/6695/
Quantum Gold Savings Dir,commodity,Commodities: Gold,Direct,44.76,36.26,25.53,Domestic Prices of Gold*,,,45.49,37.14,26.64,1.93,0.88,1.5,2.43,18.24,33,8,4,12,3,2,4,29,Low Risk,Good,1,https://www.valueresearchonline.com/funds/12683/
SBI Gold ETF,commodity,Commodities: Gold,Direct,44.49,35.87,25.48,Domestic Prices of Gold*,,,45.49,37.14,26.64,-0.56,0.97,1.38,2.42,19.94,33.11,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/10382/
SBI Gold Dir,commodity,Commodities: Gold,Direct,44.44,36,25.55,Domestic Prices of Gold*,INF200K01RP8,119788,45.49,37.14,26.64,0.96,0.91,1.45,2.38,18.72,32.84,6,4,10,3,2,4,25,Moderate Risk,Good,1,https://www.valueresearchonline.com/funds/16207/
Tata Gold ETF,commodity,Commodities: Gold,Direct,44.14,,,Domestic Prices of Gold*,INF277KA1869,152287,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44015/
Tata Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,43.01,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,2,,,Poor,1,https://www.valueresearchonline.com/funds/44018/
The Wealth Company Gold ETF,commodity,Commodities: Gold,Direct,,,,Domestic Prices of Gold*,INF2F0001412,154131,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45711/
The Wealth Company Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,,,,Domestic Prices of Gold*,INF2F0001412,154131,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45759/
Union Gold ETF,commodity,Commodities: Gold,Direct,44.19,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44978/
Union Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,43.15,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44981/
UTI Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,44.59,36.37,,Domestic Prices of Gold*,,,45.49,37.14,,4.04,0.82,1.57,2.35,17.47,33.16,10,5,12,3,2,5,32,Low Risk,Excellent,1,https://www.valueresearchonline.com/funds/42640/
UTI Gold ETF,commodity,Commodities: Gold,Direct,44.97,36.5,25.78,Domestic Prices of Gold*,INF789F1AWB9,150714,45.49,37.14,26.64,-0.51,0.99,1.38,2.43,20.25,33.66,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/4954/
Zerodha Gold ETF,commodity,Commodities: Gold,Direct,44.72,,,Domestic Prices of Gold*,INF0R8F01083,153011,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44177/
Zerodha Gold ETF FoF Dir,commodity,Commodities: Gold,Direct,44.39,,,Domestic Prices of Gold*,INF0R8F01083,153011,45.49,,,,,,,,,,,,,,3,,,Average,1,https://www.valueresearchonline.com/funds/44674/
360 ONE Silver ETF,commodity,Commodities: Silver,Direct,87.63,,,Domestic Prices of Silver*,INF579M01BC3,153415,89.09,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45054/
ABSL Silver ETF,commodity,Commodities: Silver,Direct,88.31,45.93,,Domestic Prices of Silver*,INF209KB16F2,149780,89.09,45.84,,-0.73,0.99,0.94,1.91,43.22,46.2,4,3,6,3,0,,16,Moderately High Risk,Average,1,https://www.valueresearchonline.com/funds/42016/
ABSL Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,85.33,44.71,,Domestic Prices of Silver*,INF209KB16F2,149780,89.09,45.84,,2.4,0.85,1,2.12,37.82,43.64,8,5,8,3,0,,24,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/42019/
Angel One Silver ETF,commodity,Commodities: Silver,Direct,,,,Domestic Prices of Silver*,INF1J2R01155,154206,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45828/
Angel One Silver ETF FoF Dir,commodity,Commodities: Silver,Direct,,,,Domestic Prices of Silver*,INF1J2R01155,154206,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45827/
