Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,ISIN,Scheme Code,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Sortino Ratio,Std Dev,Mean Return (%),Alpha Score (/12),Beta Score (/6),Sharpe Score (/12),Sortino Score (/4),Std Dev Score (/6),VR Stars,Score (/40),Risk Category,Fund Rating,Top Holdings Count,Fund URL
HSBC Gold ETF,commodity,Commodities: Gold,Regular,,,,Domestic Prices of Gold*,INF336L01RY0,154298,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45919/
HSBC Gold ETF FoF Reg,commodity,Commodities: Gold,Regular,,,,Domestic Prices of Gold*,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45927/
ICICI Pru Gold ETF FoF,commodity,Commodities: Gold,Regular,43.94,35.71,25.11,Domestic Prices of Gold*,INF109K01TK8,115833,45.49,37.14,26.64,-0.33,0.95,1.39,2.33,19.44,32.73,4,4,10,3,2,3,23,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/13289/
ICICI Pru Gold ETF,commodity,Commodities: Gold,Regular,44.76,36.24,25.68,Domestic Prices of Gold*,INF109K01TK8,115833,45.49,37.14,26.64,-0.23,0.97,1.39,2.43,19.81,33.29,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/11347/
Invesco India Gold ETF,commodity,Commodities: Gold,Regular,44.56,36.15,25.69,Domestic Prices of Gold*,INF205K01FA4,116077,45.49,37.14,26.64,-1.72,1.03,1.32,2.47,21.05,33.51,4,3,10,3,2,,22,Moderate Risk,Average,0,https://www.valueresearchonline.com/funds/10862/
Invesco India Gold ETF FoF Reg,commodity,Commodities: Gold,Regular,42.89,34.87,24.87,Domestic Prices of Gold*,,,45.49,37.14,26.64,0.77,0.9,1.44,2.31,18.34,32.16,6,4,10,3,2,3,25,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/13545/
Kotak Gold ETF,commodity,Commodities: Gold,Regular,44.71,36.15,25.6,Domestic Prices of Gold*,,,45.49,37.14,26.64,-0.3,0.97,1.39,2.42,19.82,33.22,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/5341/
Kotak Gold Reg,commodity,Commodities: Gold,Regular,44.03,35.46,24.83,Domestic Prices of Gold*,,,45.49,37.14,26.64,2.38,0.85,1.51,2.24,17.71,32.42,8,5,12,3,2,3,30,Low Risk,Average,1,https://www.valueresearchonline.com/funds/12458/
Kotak Gold Silver Passive FoF Reg,commodity,Commodities: Gold,Regular,,,,Commodities: Gold & Silver*,INF174KA1XU2,153922,,,,,,,,,,,,,,,,,,,2,https://www.valueresearchonline.com/funds/45550/
LIC MF Gold ETF,commodity,Commodities: Gold,Regular,44.61,36.38,26.01,Domestic Prices of Gold*,INF397L01992,151973,45.49,37.14,26.64,1.52,0.91,1.46,2.24,19,33.37,8,4,10,3,2,,27,Low Risk,Good,1,https://www.valueresearchonline.com/funds/13461/
LIC MF Gold ETF FoF Reg,commodity,Commodities: Gold,Regular,42.95,35.57,25.19,Domestic Prices of Gold*,,,45.49,37.14,26.64,0.31,0.93,1.4,2.26,19.3,32.66,6,4,10,3,2,2,25,Moderate Risk,Poor,1,https://www.valueresearchonline.com/funds/15154/
Mirae Asset Gold ETF,commodity,Commodities: Gold,Regular,44.57,36.16,,Domestic Prices of Gold*,INF769K01MS7,153009,45.49,37.14,,-0.13,0.96,1.4,2.43,19.68,33.2,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/43168/
Mirae Asset Gold ETF FoF Reg,commodity,Commodities: Gold,Regular,43.21,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,3,,,Average,1,https://www.valueresearchonline.com/funds/44664/
Mirae Asset Gold Silver Passive FoF Reg,commodity,Commodities: Gold,Regular,63.74,,,Commodities: Gold & Silver*,INF769K01PP6,153814,64.55,,,,,,,,,,,,,,,,,,2,https://www.valueresearchonline.com/funds/45449/
Motilal Oswal Gold and Silver Passive FoF Reg,commodity,Commodities: Gold,Regular,53.89,37.64,,Commodities: Gold & Silver*,,,64.55,40.45,,,,,1.92,,,,,,3,,,3,High Risk,Poor,2,https://www.valueresearchonline.com/funds/42570/
Motilal Oswal Gold ETF,commodity,Commodities: Gold,Regular,44.02,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45416/
Nippon India ETF Gold BeES,commodity,Commodities: Gold,Regular,44.35,35.91,25.39,Domestic Prices of Gold*,,,45.49,37.14,26.64,-0.52,0.97,1.38,2.4,19.85,33.04,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/4957/
Nippon India Gold Savings Reg,commodity,Commodities: Gold,Regular,43.72,35.58,24.96,Domestic Prices of Gold*,INF204K01KN0,114616,45.49,37.14,26.64,-0.87,0.97,1.37,2.37,19.82,32.77,4,3,10,3,2,2,22,Moderate Risk,Poor,1,https://www.valueresearchonline.com/funds/12184/
Quantum Gold,commodity,Commodities: Gold,Regular,44.97,36.14,25.59,Domestic Prices of Gold*,,,45.49,37.14,26.64,-0.94,1,1.36,2.48,20.42,33.4,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/6695/
Quantum Gold Savings Reg,commodity,Commodities: Gold,Regular,44.1,35.89,25.25,Domestic Prices of Gold*,,,45.49,37.14,26.64,1.66,0.88,1.48,2.4,18.23,32.72,8,4,10,3,2,4,27,Low Risk,Good,1,https://www.valueresearchonline.com/funds/33964/
SBI Gold ETF,commodity,Commodities: Gold,Regular,44.49,35.87,25.48,Domestic Prices of Gold*,INF200KA16D8,111954,45.49,37.14,26.64,-0.56,0.97,1.38,2.42,19.94,33.11,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/10382/
SBI Gold Reg,commodity,Commodities: Gold,Regular,44.19,35.74,25.24,Domestic Prices of Gold*,,,45.49,37.14,26.64,0.77,0.91,1.44,2.36,18.71,32.64,6,4,10,3,2,4,25,Moderate Risk,Good,1,https://www.valueresearchonline.com/funds/13190/
Tata Gold ETF,commodity,Commodities: Gold,Regular,44.14,,,Domestic Prices of Gold*,INF277KA1901,152290,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44015/
Tata Gold ETF FoF Reg,commodity,Commodities: Gold,Regular,42.51,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,2,,,Poor,1,https://www.valueresearchonline.com/funds/44016/
The Wealth Company Gold ETF,commodity,Commodities: Gold,Regular,,,,Domestic Prices of Gold*,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45711/
The Wealth Company Gold ETF FoF Reg,commodity,Commodities: Gold,Regular,,,,Domestic Prices of Gold*,INF2F0001388,154133,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45757/
Union Gold ETF,commodity,Commodities: Gold,Regular,44.19,,,Domestic Prices of Gold*,INF582M01KT2,153338,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44978/
Union Gold ETF FoF Reg,commodity,Commodities: Gold,Regular,42.75,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44979/
UTI Gold ETF FoF Reg,commodity,Commodities: Gold,Regular,44.05,35.81,,Domestic Prices of Gold*,,,45.49,37.14,,3.63,0.82,1.55,2.31,17.46,32.74,10,5,12,3,2,5,32,Low Risk,Excellent,1,https://www.valueresearchonline.com/funds/42639/
UTI Gold ETF,commodity,Commodities: Gold,Regular,44.97,36.5,25.78,Domestic Prices of Gold*,INF789F1AWA1,150715,45.49,37.14,26.64,-0.51,0.99,1.38,2.43,20.25,33.66,4,3,10,3,2,,22,Moderate Risk,Average,1,https://www.valueresearchonline.com/funds/4954/
Zerodha Gold ETF,commodity,Commodities: Gold,Regular,44.72,,,Domestic Prices of Gold*,,,45.49,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44177/
