Fund Name,Category,Subcategory,ISIN,Scheme Code,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,Alpha Score (12),Sharpe Score (12),Std Dev Score (6),Beta Score (6),Sortino Score (4),Total Score (40),Risk Label
HSBC Gold ETF,commodity,Commodities: Gold,INF336L01RX2,154294,Direct,,,,Domestic Prices of Gold,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45919/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
HSBC Gold ETF FoF Dir,commodity,Commodities: Gold,INF336L01SB6,154295,Direct,,,,Domestic Prices of Gold,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45929/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
ICICI Pru Gold ETF FoF Dir,commodity,Commodities: Gold,INF109K01U92,120685,Direct,42.64,32.8,23.1,Domestic Prices of Gold,47.23,34.53,24.8,-0.09,0.95,1.29,19.19,30.62,,,,,1,https://www.valueresearchonline.com/funds/15858/,4,10,5,4,N/A,23,Moderate Risk
ICICI Pru Gold ETF,commodity,Commodities: Gold,INF109KA1301,120537,Direct,43.35,33.04,23.45,Domestic Prices of Gold,47.23,34.53,24.8,-0.24,0.97,1.28,19.53,30.84,,,,,1,https://www.valueresearchonline.com/funds/11347/,4,10,5,5,N/A,24,Low Risk
Invesco India Gold ETF,commodity,Commodities: Gold,INF205K01FA4,120529,Direct,42.85,33,23.46,Domestic Prices of Gold,47.23,34.53,24.8,-1.69,1.03,1.21,20.79,31.01,,,,,0,https://www.valueresearchonline.com/funds/10862/,4,10,4,5,N/A,23,Moderate Risk
Invesco India Gold ETF FoF Dir,commodity,Commodities: Gold,INF205K01NJ9,120531,Direct,41.55,32.11,22.75,Domestic Prices of Gold,47.23,34.53,24.8,0.74,0.9,1.33,18.12,29.95,,,,,1,https://www.valueresearchonline.com/funds/16767/,6,10,5,4,N/A,25,Low Risk
Kotak Gold ETF,commodity,Commodities: Gold,INF174KA1HJ8,106193,Direct,43.19,32.92,23.36,Domestic Prices of Gold,47.23,34.53,24.8,-0.34,0.97,1.28,19.53,30.75,,,,,1,https://www.valueresearchonline.com/funds/5341/,4,10,5,5,N/A,24,Low Risk
Kotak Gold Dir,commodity,Commodities: Gold,INF174K01AT3,114758,Direct,42.42,32.84,22.89,Domestic Prices of Gold,47.23,34.53,24.8,2.54,0.84,1.41,17.4,30.36,,,,,1,https://www.valueresearchonline.com/funds/16358/,8,10,5,2,N/A,25,Low Risk
Kotak Gold Silver Passive FoF Dir,commodity,Commodities: Gold,INF174KA1XT4,152780,Direct,,,,Commodities: Gold & Silver,,,,,,,,,,,,,2,https://www.valueresearchonline.com/funds/45551/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
LIC MF Gold ETF,commodity,Commodities: Gold,INF767K01RE0,153316,Direct,43.78,33.25,23.78,Domestic Prices of Gold,47.23,34.53,24.8,1.35,0.91,1.34,18.71,30.9,,,,,1,https://www.valueresearchonline.com/funds/13461/,6,10,5,4,N/A,25,Low Risk
LIC MF Gold ETF FoF Dir,commodity,Commodities: Gold,INF397L01BU4,151976,Direct,41.92,32.53,23.09,Domestic Prices of Gold,47.23,34.53,24.8,0.44,0.93,1.3,19,30.42,,,,,1,https://www.valueresearchonline.com/funds/16496/,6,10,5,4,N/A,25,Low Risk
Mirae Asset Gold ETF,commodity,Commodities: Gold,INF769K01JP9,151416,Direct,43.13,32.96,,Domestic Prices of Gold,47.23,34.53,,-0.16,0.96,1.29,19.4,30.75,,,,,1,https://www.valueresearchonline.com/funds/43168/,4,10,5,5,N/A,24,Low Risk
Mirae Asset Gold ETF FoF Dir,commodity,Commodities: Gold,INF769K01MV1,153007,Direct,42.22,,,Domestic Prices of Gold,47.23,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44666/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Mirae Asset Gold Silver Passive FoF Dir,commodity,Commodities: Gold,INF769K01PM3,153812,Direct,,,,Commodities: Gold & Silver,,,,,,,,,,,,,2,https://www.valueresearchonline.com/funds/45451/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Motilal Oswal Gold and Silver Passive FoF Dir,commodity,Commodities: Gold,INF247L01BM8,150642,Direct,58.23,36.26,,Commodities: Gold & Silver,65.97,38.12,,,,,,,,,,,2,https://www.valueresearchonline.com/funds/42571/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Motilal Oswal Gold ETF,commodity,Commodities: Gold,INF247L01FY4,153780,Direct,,,,Domestic Prices of Gold,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/45416/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Nippon India ETF Gold BeES,commodity,Commodities: Gold,INF204KB17I5,140088,Direct,42.91,32.71,23.02,Domestic Prices of Gold,47.23,34.53,24.8,-0.54,0.97,1.27,19.57,30.59,,,,,1,https://www.valueresearchonline.com/funds/4957/,4,10,5,5,N/A,24,Low Risk
Nippon India Gold Savings Dir,commodity,Commodities: Gold,INF204K01YD2,118662,Direct,42.21,32.53,22.87,Domestic Prices of Gold,47.23,34.53,24.8,-0.79,0.98,1.26,19.57,30.46,,,,,1,https://www.valueresearchonline.com/funds/16080/,4,10,5,5,N/A,24,Low Risk
Quantum Gold,commodity,Commodities: Gold,INF082J01358,118134,Direct,43.97,32.94,23.34,Domestic Prices of Gold,47.23,34.53,24.8,-0.99,1,1.24,20.15,30.87,,,,,1,https://www.valueresearchonline.com/funds/6695/,4,10,4,6,N/A,24,Low Risk
