Fund Name,Category,Subcategory,ISIN,Scheme Code,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,Alpha Score (12),Sharpe Score (12),Std Dev Score (6),Beta Score (6),Sortino Score (4),Total Score (40),Risk Label
Mahindra Manulife ELSS Tax Saver Dir,equity,equity,INF174V01093,139781,Direct,-5.05,10.57,11.96,BSE 500 TRI,-1.52,12.67,12.33,-1.35,0.9,0.37,14.03,10.95,,,,,25,https://www.valueresearchonline.com/funds/32895/,4,2,3,4,N/A,13,Moderately High Risk
Mirae Asset ELSS Tax Saver Dir,equity,equity,INF769K01DM9,135781,Direct,2.55,15.12,13.5,BSE 500 TRI,-1.52,12.67,12.33,2.1,1,0.6,15.51,15.14,,,,,25,https://www.valueresearchonline.com/funds/31318/,8,4,3,3,N/A,18,Moderate Risk
Motilal Oswal ELSS Tax Saver Dir,equity,equity,INF247L01569,133386,Direct,5.66,23.47,19.37,BSE 500 TRI,-1.52,12.67,12.33,9.29,1.16,0.83,21.32,23.46,,,,,25,https://www.valueresearchonline.com/funds/29162/,12,6,2,1,N/A,21,Moderate Risk
NJ ELSS Tax Saver Dir,equity,equity,INF192K01CE3,120494,Direct,-5.16,12.68,,BSE 500 TRI,-1.52,12.67,,0.35,0.97,0.45,16.07,13.11,,,,,25,https://www.valueresearchonline.com/funds/43365/,6,2,3,3,N/A,14,Moderately High Risk
Navi ELSS Tax Saver Dir,equity,equity,INF959L01CD5,135654,Direct,,,,,,,,,,,,,,,,,0,https://www.valueresearchonline.com/funds/31265/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Navi ELSS Tax Saver Nifty 50 Index Dir,equity,equity,INF959L01GR6,151471,Direct,-5.16,8.72,,BSE 500 TRI,-1.52,12.67,,-2.94,0.87,0.24,13.7,9.13,,,,,25,https://www.valueresearchonline.com/funds/43191/,2,2,4,4,N/A,12,Moderately High Risk
Nippon India ELSS Tax Saver Dir,equity,equity,INF204K01L55,118803,Direct,1.76,15.6,14.88,BSE 500 TRI,-1.52,12.67,12.33,2.78,0.97,0.65,15.1,15.59,,,,,25,https://www.valueresearchonline.com/funds/16186/,8,4,3,3,N/A,18,Moderate Risk
PGIM India ELSS Tax Saver Dir,equity,equity,INF663L01FN5,135601,Direct,-2.44,10.09,11.94,BSE 500 TRI,-1.52,12.67,12.33,-1.91,0.93,0.32,14.86,10.59,,,,,25,https://www.valueresearchonline.com/funds/31167/,4,2,3,4,N/A,13,Moderately High Risk
Parag Parikh ELSS Tax Saver Dir,equity,equity,INF879O01100,147481,Direct,-8.35,11.82,14.06,BSE 500 TRI,-1.52,12.67,12.33,0.88,0.71,0.52,11.41,11.78,,,,,25,https://www.valueresearchonline.com/funds/40105/,6,2,5,6,N/A,19,Moderate Risk
Quant ELSS Tax Saver Dir,equity,equity,INF966L01986,120847,Direct,8.71,17.8,17.07,BSE 500 TRI,-1.52,12.67,12.33,4.31,1.11,0.67,18.42,18.14,,,,,25,https://www.valueresearchonline.com/funds/17381/,10,4,2,2,N/A,18,Moderate Risk
Quantum ELSS Tax Saver Dir,equity,equity,INF082J01069,111549,Direct,-6.29,12.27,11.36,BSE 500 TRI,-1.52,12.67,12.33,0.54,0.85,0.49,13.46,12.45,,,,,25,https://www.valueresearchonline.com/funds/10080/,6,2,4,5,N/A,17,Moderately High Risk
SBI ELSS Tax Saver Dir,equity,equity,INF917K01GP0,151078,Direct,-1.05,18.33,17.45,BSE 500 TRI,-1.52,12.67,12.33,5.21,0.98,0.79,15.43,18.05,,,,,25,https://www.valueresearchonline.com/funds/16244/,12,4,3,3,N/A,22,Moderate Risk
SBI Long Term Advantage Sr IV Dir,equity,equity,INF200KA1LS9,140487,Direct,1.3,11.21,13.44,BSE 500 TRI,-1.52,12.67,12.33,-0.55,0.9,0.38,15.7,11.73,,,,,25,https://www.valueresearchonline.com/funds/33323/,4,2,3,4,N/A,13,Moderately High Risk
SBI Long Term Advantage Sr V Dir,equity,equity,INF200KA1RW8,142138,Direct,0.18,20.49,17.11,BSE 500 TRI,-1.52,12.67,12.33,7.1,0.98,0.86,16.35,19.94,,,,,25,https://www.valueresearchonline.com/funds/34960/,12,6,3,3,N/A,24,Low Risk
SBI Long Term Advantage Sr VI Dir,equity,equity,INF200KA1TO1,143178,Direct,-1.56,14.71,14.21,BSE 500 TRI,-1.52,12.67,12.33,1.37,1.1,0.52,18.01,15.1,,,,,25,https://www.valueresearchonline.com/funds/35971/,6,2,2,2,N/A,12,Moderately High Risk
Samco ELSS Tax Saver Dir,equity,equity,INF0K1H01065,150838,Direct,-8.15,6.14,,BSE 500 TRI,-1.52,12.67,,-5.72,1.09,0.11,19.52,7.95,,,,,25,https://www.valueresearchonline.com/funds/42760/,1,2,2,2,N/A,7,High Risk
Shriram ELSS Tax Saver Dir,equity,equity,INF680P01158,145819,Direct,-1.76,9.74,10.07,BSE 500 TRI,-1.52,12.67,12.33,-2.44,1,0.29,16.82,10.6,,,,,25,https://www.valueresearchonline.com/funds/38439/,2,2,3,3,N/A,10,High Risk
Sundaram ELSS Tax Saver Dir,equity,equity,INF173K01HZ7,149570,Direct,-3.08,10.97,11.81,BSE 500 TRI,-1.52,12.67,12.33,-1.08,0.91,0.38,14.24,11.28,,,,,25,https://www.valueresearchonline.com/funds/16650/,4,2,3,4,N/A,13,Moderately High Risk
Sundaram Long Term Micro Cap Tax Advantage III Dir,equity,equity,INF903JA1443,139711,Direct,6.46,16.29,18.5,BSE 500 TRI,-1.52,12.67,12.33,3.13,1.09,0.56,19.52,16.76,,,,,25,https://www.valueresearchonline.com/funds/32783/,10,2,2,2,N/A,16,Moderately High Risk
Sundaram Long Term Micro Cap Tax Advantage IV Dir,equity,equity,INF903JA1955,141141,Direct,6.47,16.39,18.72,BSE 500 TRI,-1.52,12.67,12.33,3.25,1.07,0.57,19.3,16.79,,,,,25,https://www.valueresearchonline.com/funds/33066/,10,2,2,2,N/A,16,Moderately High Risk
Sundaram Long Term Micro Cap Tax Advantage V Dir,equity,equity,INF903JA1955,141141,Direct,6.79,17.13,18.17,BSE 500 TRI,-1.52,12.67,12.33,3.86,1.08,0.6,19.4,17.45,,,,,25,https://www.valueresearchonline.com/funds/34226/,10,4,2,2,N/A,18,Moderate Risk
Sundaram Long Term Micro Cap Tax Advantage VI Dir,equity,equity,INF903JA1AZ0,141564,Direct,5.51,16.65,18.53,BSE 500 TRI,-1.52,12.67,12.33,3.47,1.08,0.58,19.34,17.02,,,,,25,https://www.valueresearchonline.com/funds/34431/,10,2,2,2,N/A,16,Moderately High Risk
Sundaram Long Term Tax Advantage III Dir,equity,equity,INF903J011W9,135682,Direct,9.74,17.66,19.57,BSE 500 TRI,-1.52,12.67,12.33,4.37,1.05,0.64,18.74,17.77,,,,,25,https://www.valueresearchonline.com/funds/35008/,10,4,2,3,N/A,19,Moderate Risk
Sundaram Long Term Tax Advantage IV Dir,equity,equity,INF903JA1CZ6,143079,Direct,9.76,17.81,19.66,BSE 500 TRI,-1.52,12.67,12.33,4.58,1.04,0.65,18.51,17.9,,,,,25,https://www.valueresearchonline.com/funds/35873/,10,4,2,3,N/A,19,Moderate Risk
Tata ELSS Dir,equity,equity,INF277K01I86,132756,Direct,4.06,15.15,14.58,BSE 500 TRI,-1.52,12.67,12.33,2.18,1,0.6,15.71,15.2,,,,,25,https://www.valueresearchonline.com/funds/16739/,8,4,3,3,N/A,18,Moderate Risk
Taurus ELSS Tax Saver Dir,equity,equity,INF044D01CG6,118866,Direct,-6.55,11.56,11.7,BSE 500 TRI,-1.52,12.67,12.33,-0.27,0.88,0.42,14.44,11.9,,,,,25,https://www.valueresearchonline.com/funds/16713/,4,2,3,4,N/A,13,Moderately High Risk
UTI ELSS Tax Saver Dir,equity,equity,INF789F01TF7,120715,Direct,-3.98,10.55,10.15,BSE 500 TRI,-1.52,12.67,12.33,-1.58,0.95,0.35,14.91,11.09,,,,,25,https://www.valueresearchonline.com/funds/15723/,4,2,3,4,N/A,13,Moderately High Risk
Union ELSS Tax Saver Dir,equity,equity,INF582M01765,119307,Direct,0.22,12.9,13.09,BSE 500 TRI,-1.52,12.67,12.33,0.59,0.93,0.5,14.55,13.07,,,,,25,https://www.valueresearchonline.com/funds/16436/,6,2,3,4,N/A,15,Moderately High Risk
