Fund Name,Category,Subcategory,ISIN,Scheme Code,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Std Dev,Mean Return (%),YTM (%),Modified Duration (yrs),Avg Credit Rating,Avg Maturity (yrs),Top Holdings Count,Fund URL,Alpha Score (12),Sharpe Score (12),Std Dev Score (6),Beta Score (6),Sortino Score (4),Total Score (40),Risk Label
ABSL BSE Sensex ETF,equity,equity,INF209K01YN0,119550,Direct,-7.11,7.11,9.24,BSE 100 TRI,-3.49,10.62,11.27,-3.01,0.93,0.13,13.6,7.62,,,,,25,https://www.valueresearchonline.com/funds/32649/,2,2,4,4,N/A,12,Moderately High Risk
ABSL Large Cap Dir,equity,equity,INF209K01YY7,119528,Direct,-4.14,11.23,11.67,BSE 100 TRI,-3.49,10.62,11.27,0.63,0.98,0.4,14.1,11.48,,,,,25,https://www.valueresearchonline.com/funds/15831/,6,2,3,3,N/A,14,Moderately High Risk
ABSL Nifty 50 ETF,equity,equity,INF209K01VY3,119648,Direct,-4.94,8.97,10.13,BSE 100 TRI,-3.49,10.62,11.27,-1.34,0.95,0.26,13.7,9.37,,,,,25,https://www.valueresearchonline.com/funds/13012/,4,2,4,4,N/A,14,Moderately High Risk
ABSL Nifty 50 Equal Weight Index Dir,equity,equity,INF209KB1Z71,148962,Direct,2.15,13.82,13.74,BSE 100 TRI,-3.49,10.62,11.27,3.02,0.98,0.56,14.52,13.88,,,,,25,https://www.valueresearchonline.com/funds/41505/,10,2,3,3,N/A,18,Moderate Risk
ABSL Nifty 50 Index Dir,equity,equity,INF209K01VY3,119648,Direct,-5.12,8.77,9.86,BSE 100 TRI,-3.49,10.62,11.27,-1.53,0.95,0.25,13.69,9.17,,,,,25,https://www.valueresearchonline.com/funds/15769/,4,2,4,4,N/A,14,Moderately High Risk
ABSL Nifty Next 50 ETF,equity,equity,INF209KB10G3,149838,Direct,5.51,18.94,14.12,BSE 100 TRI,-3.49,10.62,11.27,6.79,1.29,0.67,20.12,19.25,,,,,25,https://www.valueresearchonline.com/funds/38491/,12,4,2,1,N/A,19,Moderate Risk
ABSL Nifty Next 50 Index Dir,equity,equity,INF209KB10G3,149838,Direct,5.28,18.43,,BSE 100 TRI,-3.49,10.62,,6.36,1.29,0.65,20.13,18.82,,,,,25,https://www.valueresearchonline.com/funds/42072/,12,4,2,1,N/A,19,Moderate Risk
Angel One Nifty 50 ETF,equity,equity,INF579M01AN2,151165,Direct,-5.01,,,BSE 100 TRI,-3.49,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45159/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Angel One Nifty 50 Index Dir,equity,equity,INF1J2R01072,153529,Direct,-5.19,,,BSE 100 TRI,-3.49,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45161/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Axis BSE Sensex ETF,equity,equity,INF846K01CR6,120438,Direct,-7.13,7.06,,BSE 100 TRI,-3.49,10.62,,-3.05,0.93,0.13,13.59,7.57,,,,,25,https://www.valueresearchonline.com/funds/43285/,2,2,4,4,N/A,12,Moderately High Risk
Axis BSE Sensex Index Dir,equity,equity,INF846K012V6,152422,Direct,-7.06,,,BSE 100 TRI,-3.49,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44150/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Axis Large Cap Dir,equity,equity,INF846K01DP8,120465,Direct,-2.91,10.01,8.3,BSE 100 TRI,-3.49,10.62,11.27,-0.24,0.91,0.33,13.5,10.28,,,,,25,https://www.valueresearchonline.com/funds/15682/,4,2,4,4,N/A,14,Moderately High Risk
Axis Nifty 100 Index Dir,equity,equity,INF846K01S29,147666,Direct,-3.35,10.39,10.45,BSE 100 TRI,-3.49,10.62,11.27,-0.23,1.01,0.34,14.5,10.78,,,,,25,https://www.valueresearchonline.com/funds/40298/,4,2,3,3,N/A,12,Moderately High Risk
Axis Nifty 50 ETF,equity,equity,INF846K01CR6,120438,Direct,-4.99,8.95,10.11,BSE 100 TRI,-3.49,10.62,11.27,-1.36,0.95,0.26,13.69,9.35,,,,,25,https://www.valueresearchonline.com/funds/34322/,4,2,4,4,N/A,14,Moderately High Risk
Axis Nifty 50 Index Dir,equity,equity,INF846K013D2,149373,Direct,-5.07,8.81,,BSE 100 TRI,-3.49,10.62,,-1.48,0.95,0.25,13.65,9.2,,,,,25,https://www.valueresearchonline.com/funds/41860/,4,2,4,4,N/A,14,Moderately High Risk
Axis Nifty Next 50 Index Dir,equity,equity,INF846K019E7,149466,Direct,5.41,18.6,,BSE 100 TRI,-3.49,10.62,,6.52,1.28,0.66,20.04,18.95,,,,,25,https://www.valueresearchonline.com/funds/41946/,12,4,2,1,N/A,19,Moderate Risk
BHARAT 22 ETF,equity,equity,INF109KC1YD4,146951,Direct,7.33,21.15,24.47,BSE 500 TRI,-1.52,12.67,12.33,7.55,1.06,0.81,18.83,20.99,,,,,22,https://www.valueresearchonline.com/funds/34740/,12,6,2,2,N/A,22,Moderate Risk
Bajaj Finserv Large Cap Dir,equity,equity,INF0QA701896,152783,Direct,-0.81,,,BSE 100 TRI,-3.49,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44455/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Bajaj Finserv Nifty 50 ETF,equity,equity,INF0QA701BA9,153506,Direct,-5,,,BSE 100 TRI,-3.49,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44066/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Bajaj Finserv Nifty 50 Index Dir,equity,equity,INF0QA701BA9,153506,Direct,-5.43,,,BSE 100 TRI,-3.49,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45133/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Bajaj Finserv Nifty Next 50 Index Dir,equity,equity,INF0QA701BG6,153479,Direct,4.55,,,BSE 100 TRI,-3.49,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45113/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Bandhan BSE Sensex ETF,equity,equity,INF194K015G8,121279,Direct,-7.45,6.74,8.85,BSE 100 TRI,-3.49,10.62,11.27,-3.36,0.93,0.11,13.58,7.27,,,,,25,https://www.valueresearchonline.com/funds/32902/,2,2,4,4,N/A,12,Moderately High Risk
Bandhan Large Cap Dir,equity,equity,INF194K01Z44,118479,Direct,0.39,13.8,13.04,BSE 100 TRI,-3.49,10.62,11.27,2.83,1.02,0.54,14.88,13.88,,,,,25,https://www.valueresearchonline.com/funds/16699/,8,2,3,3,N/A,16,Moderately High Risk
Bandhan Nifty 100 Index Dir,equity,equity,INF194KB1CR7,149832,Direct,-3.27,10.48,,BSE 100 TRI,-3.49,10.62,,-0.15,1.01,0.35,14.5,10.85,,,,,25,https://www.valueresearchonline.com/funds/42076/,4,2,3,3,N/A,12,Moderately High Risk
Bandhan Nifty 50 ETF,equity,equity,INF194K015G8,121279,Direct,-5.05,8.9,10.03,BSE 100 TRI,-3.49,10.62,11.27,-1.41,0.95,0.26,13.7,9.3,,,,,25,https://www.valueresearchonline.com/funds/32903/,4,2,4,4,N/A,14,Moderately High Risk
Bandhan Nifty 50 Index Dir,equity,equity,INF194K012A8,118482,Direct,-5.1,8.79,9.97,BSE 100 TRI,-3.49,10.62,11.27,-1.51,0.95,0.25,13.7,9.2,,,,,25,https://www.valueresearchonline.com/funds/16504/,4,2,4,4,N/A,14,Moderately High Risk
Bandhan Nifty Next 50 Index Dir,equity,equity,INF194KB1JK7,153350,Direct,5.28,,,BSE 100 TRI,-3.49,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44984/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Bandhan Nifty100 Low Volatility 30 Index Dir,equity,equity,INF194KB1DV7,150636,Direct,-1.11,11.29,,BSE 500 TRI,-1.52,12.67,,-0.41,0.85,0.4,14.32,11.55,,,,,25,https://www.valueresearchonline.com/funds/42544/,4,2,3,5,N/A,14,Moderately High Risk
Bank of India Large Cap Dir,equity,equity,INF761K01FL3,148980,Direct,4.28,14.94,12.21,BSE 100 TRI,-3.49,10.62,11.27,3.79,1.07,0.58,16.13,15.15,,,,,25,https://www.valueresearchonline.com/funds/41521/,10,2,3,2,N/A,17,Moderately High Risk
Baroda BNP Paribas Large Cap Dir,equity,equity,INF251K01HN7,150187,Direct,-1.81,13.37,12.81,BSE 100 TRI,-3.49,10.62,11.27,2.59,1,0.53,14.66,13.55,,,,,25,https://www.valueresearchonline.com/funds/15719/,8,2,3,3,N/A,16,Moderately High Risk
Baroda BNP Paribas NIFTY 50 Index Dir,equity,equity,INF251K01SY1,152329,Direct,-5.24,,,BSE 100 TRI,-3.49,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43987/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Canara Robeco Large Cap Dir,equity,equity,INF760K01FR2,118269,Direct,-3.62,11.79,11.44,BSE 100 TRI,-3.49,10.62,11.27,1.19,0.94,0.44,13.66,11.87,,,,,25,https://www.valueresearchonline.com/funds/15765/,6,2,4,4,N/A,16,Moderately High Risk
Choice Nifty 50 Index Dir,equity,equity,INF2KCX01020,154301,Direct,,,,BSE 100 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45932/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Choice Nifty Next 50 Index Dir,equity,equity,INF2KCX01046,154304,Direct,,,,BSE 100 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45938/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
DSP BSE Sensex ETF,equity,equity,INF740K01ZW2,124175,Direct,-7.12,,,BSE 100 TRI,-3.49,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43657/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
DSP BSE Sensex Next 30 ETF,equity,equity,INF740KA1VB1,153219,Direct,5.99,,,BSE 100 TRI,-3.49,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44874/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
DSP BSE Sensex Next 30 Index Dir,equity,equity,INF740KA1VB1,153219,Direct,5.7,,,BSE 100 TRI,-3.49,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44872/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
DSP Large Cap Dir,equity,equity,INF740K01PR3,119250,Direct,-3.51,13.57,11.7,BSE 100 TRI,-3.49,10.62,11.27,3.05,0.88,0.58,13.12,13.42,,,,,25,https://www.valueresearchonline.com/funds/16456/,10,2,4,4,N/A,20,Moderate Risk
DSP NIFTY 50 Equal Weight ETF,equity,equity,INF740KA1CR7,141877,Direct,2.38,14.07,,BSE 100 TRI,-3.49,10.62,,3.23,0.98,0.57,14.53,14.1,,,,,25,https://www.valueresearchonline.com/funds/41801/,10,2,3,3,N/A,18,Moderate Risk
DSP Nifty 50 ETF,equity,equity,INF740K01ZW2,124175,Direct,-4.97,8.96,,BSE 100 TRI,-3.49,10.62,,-1.35,0.95,0.26,13.7,9.35,,,,,25,https://www.valueresearchonline.com/funds/41895/,4,2,4,4,N/A,14,Moderately High Risk
DSP Nifty 50 Equal Weight Index Dir,equity,equity,INF740KA1CR7,141877,Direct,2.19,13.86,13.85,BSE 100 TRI,-3.49,10.62,11.27,3.05,0.98,0.56,14.52,13.91,,,,,25,https://www.valueresearchonline.com/funds/34695/,10,2,3,3,N/A,18,Moderate Risk
DSP Nifty 50 Index Dir,equity,equity,INF740KA1MM7,146376,Direct,-5.08,8.79,9.92,BSE 100 TRI,-3.49,10.62,11.27,-1.51,0.95,0.25,13.69,9.2,,,,,25,https://www.valueresearchonline.com/funds/39135/,4,2,4,4,N/A,14,Moderately High Risk
DSP Nifty Next 50 ETF,equity,equity,INF740K01ZW2,124175,Direct,,,,BSE 100 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45716/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
DSP Nifty Next 50 Index Dir,equity,equity,INF740KA1MG9,146381,Direct,5.21,18.54,13.85,BSE 100 TRI,-3.49,10.62,11.27,6.45,1.29,0.65,20.12,18.91,,,,,25,https://www.valueresearchonline.com/funds/39165/,12,4,2,1,N/A,19,Moderate Risk
DSP Nifty Top 10 Equal Wght ETF,equity,equity,INF740K01NF3,119099,Direct,-13.32,,,BSE 100 TRI,-3.49,,,,,,,,,,,,10,https://www.valueresearchonline.com/funds/44494/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
DSP Nifty Top 10 Equal Wght Index Dir,equity,equity,INF740KA1UQ1,152814,Direct,-13.46,,,BSE 100 TRI,-3.49,,,,,,,,,,,,10,https://www.valueresearchonline.com/funds/44493/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Edelweiss BSE Sensex ETF,equity,equity,INF843K01FC8,140286,Direct,,,,BSE 100 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45582/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Edelweiss Large Cap Dir,equity,equity,INF843K01FC8,140286,Direct,-2.71,11.65,12.34,BSE 100 TRI,-3.49,10.62,11.27,1.19,0.96,0.44,13.98,11.97,,,,,25,https://www.valueresearchonline.com/funds/17352/,6,2,4,3,N/A,15,Moderately High Risk
Edelweiss Nifty 100 Quality 30 Index Dir,equity,equity,INF754K01NJ6,149254,Direct,-3.14,9.03,,BSE 500 TRI,-1.52,12.67,,-2.64,0.9,0.25,15.16,9.64,,,,,25,https://www.valueresearchonline.com/funds/41778/,2,2,3,4,N/A,11,High Risk
Edelweiss Nifty 50 ETF,equity,equity,INF843K01FC8,140286,Direct,,,,BSE 100 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45581/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Edelweiss Nifty 50 Index Dir,equity,equity,INF754K01NB3,149250,Direct,-5.04,8.75,,BSE 100 TRI,-3.49,10.62,,-1.54,0.95,0.25,13.66,9.15,,,,,25,https://www.valueresearchonline.com/funds/41775/,4,2,4,4,N/A,14,Moderately High Risk
Edelweiss Nifty Next 50 Index Dir,equity,equity,INF754K01QL5,150899,Direct,5.3,18.6,,BSE 100 TRI,-3.49,10.62,,6.5,1.29,0.65,20.08,18.95,,,,,25,https://www.valueresearchonline.com/funds/42804/,12,4,2,1,N/A,19,Moderate Risk
Franklin India Large Cap Dir,equity,equity,INF090I01FN7,118531,Direct,-2.97,11.21,9.79,BSE 100 TRI,-3.49,10.62,11.27,0.78,0.9,0.41,13.22,11.25,,,,,25,https://www.valueresearchonline.com/funds/15982/,6,2,4,4,N/A,16,Moderately High Risk
Franklin India NSE Nifty 50 Index Dir,equity,equity,INF090I01GS4,118581,Direct,-5.11,8.71,9.83,BSE 100 TRI,-3.49,10.62,11.27,-1.56,0.94,0.24,13.62,9.12,,,,,25,https://www.valueresearchonline.com/funds/15996/,4,2,4,4,N/A,14,Moderately High Risk
Groww Large Cap Dir,equity,equity,INF0QA701607,152162,Direct,-0.54,12.32,11.76,BSE 100 TRI,-3.49,10.62,11.27,1.7,0.98,0.47,14.49,12.58,,,,,25,https://www.valueresearchonline.com/funds/15579/,8,2,3,3,N/A,16,Moderately High Risk
Groww Nifty 50 ETF,equity,equity,INF666M01EK5,145589,Direct,,,,BSE 100 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45330/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Groww Nifty 50 Index Dir,equity,equity,INF666M01KT3,153704,Direct,,,,BSE 100 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45328/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Groww Nifty Next 50 ETF,equity,equity,INF666M01EK5,145589,Direct,,,,BSE 100 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45428/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Groww Nifty Next 50 Index Dir,equity,equity,INF666M01LT1,153786,Direct,,,,BSE 100 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45431/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
HDFC BSE Sensex ETF,equity,equity,INF179KA1IZ7,128629,Direct,-7.16,7.11,9.25,BSE 100 TRI,-3.49,10.62,11.27,-3.02,0.94,0.13,13.61,7.62,,,,,25,https://www.valueresearchonline.com/funds/31377/,2,2,4,4,N/A,12,Moderately High Risk
HDFC BSE Sensex Index Dir,equity,equity,INF767K01FJ4,120308,Direct,-7.35,6.89,9.03,BSE 100 TRI,-3.49,10.62,11.27,-3.22,0.94,0.12,13.61,7.41,,,,,25,https://www.valueresearchonline.com/funds/16071/,2,2,4,4,N/A,12,Moderately High Risk
HDFC Large Cap Dir,equity,equity,INF179K01YV8,119018,Direct,-2.1,11.6,13.13,BSE 100 TRI,-3.49,10.62,11.27,1.04,0.95,0.43,13.93,11.75,,,,,25,https://www.valueresearchonline.com/funds/16164/,6,2,4,4,N/A,16,Moderately High Risk
HDFC NIFTY 100 ETF,equity,equity,INF179KA1IZ7,128629,Direct,-3.42,10.32,,BSE 100 TRI,-3.49,10.62,,-0.3,1.01,0.34,14.51,10.71,,,,,25,https://www.valueresearchonline.com/funds/42416/,4,2,3,3,N/A,12,Moderately High Risk
HDFC NIFTY 100 Equal Wght Index Dir,equity,equity,INF179KC1CA1,149870,Direct,3.58,16,,BSE 100 TRI,-3.49,10.62,,4.51,1.13,0.61,16.89,16.16,,,,,25,https://www.valueresearchonline.com/funds/42093/,10,4,3,2,N/A,19,Moderate Risk
HDFC NIFTY 100 Index Dir,equity,equity,INF179KC1BY3,149868,Direct,-3.45,10.24,,BSE 100 TRI,-3.49,10.62,,-0.36,1.01,0.33,14.48,10.64,,,,,25,https://www.valueresearchonline.com/funds/42091/,4,2,3,3,N/A,12,Moderately High Risk
HDFC NIFTY 50 ETF,equity,equity,INF179KA1IZ7,128629,Direct,-5,8.94,10.1,BSE 100 TRI,-3.49,10.62,11.27,-1.37,0.95,0.26,13.71,9.34,,,,,25,https://www.valueresearchonline.com/funds/31376/,4,2,4,4,N/A,14,Moderately High Risk
HDFC NIFTY 50 Index Dir,equity,equity,INF179KC1BY3,149868,Direct,-5.18,8.72,9.87,BSE 100 TRI,-3.49,10.62,11.27,-1.57,0.95,0.24,13.7,9.13,,,,,25,https://www.valueresearchonline.com/funds/16069/,4,2,4,4,N/A,14,Moderately High Risk
HDFC NIFTY Next 50 ETF,equity,equity,INF179KA1IZ7,128629,Direct,5.35,18.74,,BSE 100 TRI,-3.49,10.62,,6.62,1.29,0.66,20.13,19.08,,,,,25,https://www.valueresearchonline.com/funds/42417/,12,4,2,1,N/A,19,Moderate Risk
HDFC NIFTY Next 50 Index Dir,equity,equity,INF179KC1BQ9,149288,Direct,5.18,18.35,,BSE 100 TRI,-3.49,10.62,,6.29,1.29,0.64,20.13,18.75,,,,,25,https://www.valueresearchonline.com/funds/41800/,12,4,2,1,N/A,19,Moderate Risk
HDFC NIFTY100 Low Volatility 30 ETF,equity,equity,INF179K01VS0,119116,Direct,-0.98,11.76,,BSE 500 TRI,-1.52,12.67,,0,0.86,0.43,14.36,11.98,,,,,25,https://www.valueresearchonline.com/funds/42568/,6,2,3,4,N/A,15,Moderately High Risk
HDFC NIFTY100 Low Volatility 30 Index Dir,equity,equity,INF200KB1936,153718,Direct,-1.14,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44405/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
HDFC NIFTY100 Quality 30 ETF,equity,equity,INF179KC1BG0,148986,Direct,-3.1,9.04,,BSE 500 TRI,-1.52,12.67,,-2.62,0.9,0.25,15.17,9.65,,,,,25,https://www.valueresearchonline.com/funds/42536/,2,2,3,4,N/A,11,High Risk
HDFC NIFTY50 Equal Weight Index Dir,equity,equity,INF179KC1BM8,149107,Direct,2.1,13.83,,BSE 100 TRI,-3.49,10.62,,3.02,0.98,0.56,14.53,13.89,,,,,25,https://www.valueresearchonline.com/funds/41636/,10,2,3,3,N/A,18,Moderate Risk
HDFC Nifty Top 20 Equal Weight Index Dir,equity,equity,INF740KA1UQ1,152814,Direct,-6.42,,,BSE 100 TRI,-3.49,,,,,,,,,,,,20,https://www.valueresearchonline.com/funds/45043/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
HDFC Nifty100 Quality 30 Index Dir,equity,equity,INF200KB1811,153555,Direct,-3.24,,,BSE 500 TRI,-1.52,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44915/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
HSBC Large Cap Dir,equity,equity,INF336L01CM7,120030,Direct,0,11.93,11.4,BSE 100 TRI,-3.49,10.62,11.27,1.39,0.95,0.45,14.13,12.1,,,,,25,https://www.valueresearchonline.com/funds/16289/,6,2,3,4,N/A,15,Moderately High Risk
HSBC Nifty 50 Index Dir,equity,equity,INF917K01D12,151157,Direct,-5.14,8.75,9.91,BSE 100 TRI,-3.49,10.62,11.27,-1.54,0.95,0.25,13.68,9.16,,,,,25,https://www.valueresearchonline.com/funds/40972/,4,2,4,4,N/A,14,Moderately High Risk
HSBC Nifty Next 50 Index Dir,equity,equity,INF917K01D79,151160,Direct,4.96,18.27,13.51,BSE 100 TRI,-3.49,10.62,11.27,6.23,1.28,0.64,20.02,18.66,,,,,25,https://www.valueresearchonline.com/funds/40976/,12,4,2,1,N/A,19,Moderate Risk
ICICI Pru BSE Sensex ETF,equity,equity,INF109K010A6,120256,Direct,-7.14,7.14,9.28,BSE 100 TRI,-3.49,10.62,11.27,-2.98,0.94,0.14,13.61,7.65,,,,,25,https://www.valueresearchonline.com/funds/1512/,2,2,4,4,N/A,12,Moderately High Risk
ICICI Pru BSE Sensex Index Dir,equity,equity,INF955L01JF3,152898,Direct,-7.32,6.92,9.02,BSE 100 TRI,-3.49,10.62,11.27,-3.2,0.93,0.12,13.6,7.44,,,,,25,https://www.valueresearchonline.com/funds/34649/,2,2,4,4,N/A,12,Moderately High Risk
ICICI Pru Bharat 22 FOF Dir,equity,equity,INF955L01JF3,152898,Direct,7.47,21.01,24.29,BSE 500 TRI,-1.52,12.67,12.33,7.47,1.05,0.8,18.79,20.85,,,,,1,https://www.valueresearchonline.com/funds/36693/,12,6,2,3,N/A,23,Moderate Risk
ICICI Pru Large Cap Dir,equity,equity,INF109K011O5,120596,Direct,-2.5,13.74,14.05,BSE 100 TRI,-3.49,10.62,11.27,3.1,0.91,0.59,13.37,13.62,,,,,25,https://www.valueresearchonline.com/funds/15841/,10,2,4,4,N/A,20,Moderate Risk
ICICI Pru Nifty 100 ETF,equity,equity,INF109K010A6,120256,Direct,-3.6,10.13,10.16,BSE 100 TRI,-3.49,10.62,11.27,-0.47,1.01,0.33,14.51,10.54,,,,,25,https://www.valueresearchonline.com/funds/20933/,4,2,3,3,N/A,12,Moderately High Risk
ICICI Pru Nifty 100 Low Volatility 30 ETF,equity,equity,INF109KC1P81,148822,Direct,-1.08,11.64,10.98,BSE 500 TRI,-1.52,12.67,12.33,-0.11,0.86,0.42,14.36,11.88,,,,,25,https://www.valueresearchonline.com/funds/34396/,4,2,3,4,N/A,13,Moderately High Risk
ICICI Pru Nifty 100 Low Volatility 30 ETF FOF Dir,equity,equity,INF109KC1P81,148822,Direct,-1.36,11.4,10.68,BSE 500 TRI,-1.52,12.67,12.33,0,0.82,0.43,13.86,11.7,,,,,1,https://www.valueresearchonline.com/funds/41399/,6,2,4,5,N/A,17,Moderately High Risk
ICICI Pru Nifty 50 ETF,equity,equity,INF109K010A6,120256,Direct,-4.97,8.98,10.13,BSE 100 TRI,-3.49,10.62,11.27,-1.34,0.95,0.26,13.71,9.37,,,,,25,https://www.valueresearchonline.com/funds/18653/,4,2,4,4,N/A,14,Moderately High Risk
ICICI Pru Nifty 50 Index Dir,equity,equity,INF109KC16Y3,153161,Direct,-5.15,8.72,9.88,BSE 100 TRI,-3.49,10.62,11.27,-1.57,0.95,0.24,13.69,9.13,,,,,25,https://www.valueresearchonline.com/funds/15959/,4,2,4,4,N/A,14,Moderately High Risk
ICICI Pru Nifty Next 50 ETF,equity,equity,INF109K01Y80,120684,Direct,5.42,18.86,14.07,BSE 100 TRI,-3.49,10.62,11.27,6.72,1.29,0.66,20.13,19.18,,,,,25,https://www.valueresearchonline.com/funds/37322/,12,4,2,1,N/A,19,Moderate Risk
ICICI Pru Nifty Next 50 Index Dir,equity,equity,INF109K01Y80,120684,Direct,5.06,18.4,13.69,BSE 100 TRI,-3.49,10.62,11.27,6.33,1.29,0.65,20.13,18.79,,,,,25,https://www.valueresearchonline.com/funds/15856/,12,4,2,1,N/A,19,Moderate Risk
ICICI Pru Nifty Top 15 Equal Weight ETF,equity,equity,INF109K1A310,153614,Direct,-5.64,,,BSE 100 TRI,-3.49,,,,,,,,,,,,15,https://www.valueresearchonline.com/funds/45235/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
ICICI Pru Nifty Top 15 Equal Weight Index Dir,equity,equity,INF109K1A310,153614,Direct,-5.62,,,BSE 100 TRI,-3.49,,,,,,,,,,,,15,https://www.valueresearchonline.com/funds/45238/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
ICICI Pru Nifty50 Equal Weight Index Dir,equity,equity,INF109KC10J7,150639,Direct,2.09,13.76,,BSE 100 TRI,-3.49,10.62,,2.96,0.98,0.55,14.52,13.82,,,,,25,https://www.valueresearchonline.com/funds/42548/,8,2,3,3,N/A,16,Moderately High Risk
ITI Large Cap Dir,equity,equity,INF00XX01804,148353,Direct,-2.89,11.84,10.97,BSE 100 TRI,-3.49,10.62,11.27,1,1.06,0.41,15.76,12.27,,,,,25,https://www.valueresearchonline.com/funds/41210/,6,2,3,2,N/A,13,Moderately High Risk
Invesco India Largecap Dir,equity,equity,INF205K01LB0,120392,Direct,1.63,15.28,14.36,BSE 100 TRI,-3.49,10.62,11.27,4.08,1.06,0.61,15.63,15.34,,,,,25,https://www.valueresearchonline.com/funds/16712/,10,4,3,2,N/A,19,Moderate Risk
Invesco India Nifty 50 ETF,equity,equity,INF205K01KT4,120444,Direct,-5.03,8.89,10.05,BSE 100 TRI,-3.49,10.62,11.27,-1.42,0.95,0.25,13.7,9.29,,,,,25,https://www.valueresearchonline.com/funds/12761/,4,2,4,4,N/A,14,Moderately High Risk
JM Large Cap Dir,equity,equity,INF192K01BZ0,120490,Direct,-1.82,12.74,12.67,BSE 100 TRI,-3.49,10.62,11.27,2.05,1.02,0.48,15.28,13.12,,,,,25,https://www.valueresearchonline.com/funds/16541/,8,2,3,3,N/A,16,Moderately High Risk
JioBlackRock Large Cap Dir,equity,equity,INF22M001176,154307,Direct,,,,BSE 100 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45936/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
JioBlackRock Nifty 50 Index Dir,equity,equity,INF22M001044,153787,Direct,,,,BSE 100 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45423/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
JioBlackRock Nifty Next 50 Index Dir,equity,equity,INF22M001085,153789,Direct,,,,BSE 100 TRI,,,,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45425/,N/A,N/A,N/A,N/A,N/A,,Insufficient Data
Kotak BSE Sensex ETF,equity,equity,INF174K01KH7,123693,Direct,-7.26,6.92,9.04,BSE 100 TRI,-3.49,10.62,11.27,-3.19,0.93,0.12,13.6,7.44,,,,,25,https://www.valueresearchonline.com/funds/7780/,2,2,4,4,N/A,12,Moderately High Risk
