fund_name,plan,vr_id,category,isin,scheme_code,ytm,mac_duration,avg_maturity,avg_credit_rating,ytm_score_10,duration_score_10,maturity_score_10,credit_score_10,total_score_40,risk_category,fund_rating,b1y,b3y,b5y,f1y,f3y,f5y,cr_aaa,cr_cash_eq,cr_sov,cr_unrated,num_securities
Tata Medium Term Seg Port1 Direct,Direct,40074,--,INF277K01PI5,119127,--,--,--,--,1,1,1,7,10,High Risk,Poor,--,--,--,--,--,--,--,--,--,--,--
UTI Medium Duration Dir,Direct,29994,Debt: Medium Duration,INF789FB1KE6,134503,7.35,3.34,4.2,AAA,6,5,6,9,26,Moderate Risk,Average,4.76,7.51,7.22,3.34,6.67,6.55,16.29,16.8,44.67,0.46,14
UTI Medium Duration Seg Port 2 Dir,Direct,40918,--,INF789FB1KE6,134503,--,--,--,--,1,1,1,1,4,High Risk,Poor,--,--,--,--,--,--,--,--,--,--,--
UTI Medium Duration Seg Port 3 Dir,Direct,41050,--,INF789FB1KE6,134503,--,--,--,--,1,1,1,1,4,High Risk,Poor,--,--,--,--,--,--,--,--,--,--,--
UTI Medium Duration Seg Port Dir,Direct,40739,--,INF789FB1KE6,134503,--,--,--,--,1,1,10,1,13,High Risk,Poor,--,--,--,--,--,--,--,--,--,--,--
ABSL Income Dir,Direct,15756,Debt: Medium to Long Duration,INF209K01WY1,119657,7.63,6.94,15.66,AAA,7,3,3,9,22,Moderate Risk,Average,1.73,6.32,5.93,0.56,5.82,5.5,31.27,5.89,62.47,0.37,60
Bandhan Medium to Long Duration Dir,Direct,16704,Debt: Medium to Long Duration,INF194K01R51,118394,7.53,6.6,14.38,AAA,4,6,7,9,26,Moderate Risk,Average,1.73,6.32,5.93,2.46,5.86,5.05,48.3,3.33,48.02,0.35,14
Canara Robeco Income Dir,Direct,15753,Debt: Medium to Long Duration,INF760K01FI1,118282,6.88,4.14,8.34,GOI/Cash,4,4,4,10,22,Moderate Risk,Average,1.73,6.32,5.93,1.5,5.88,5.32,--,6.22,93.45,0.33,13
Franklin India Medium to Long Duration Dir,Direct,44534,Debt: Medium to Long Duration,INF090I01XG4,152851,7.61,4.51,7.89,AAA,8,3,3,9,23,Moderate Risk,Average,1.73,--,--,2.48,--,--,19.7,11.73,54.55,0.32,12
HDFC Income Dir,Direct,16066,Debt: Medium to Long Duration,INF179K01WL3,119069,7.14,6.55,12.87,AAA,5,3,3,9,20,Moderately High Risk,Average,1.73,6.32,5.93,0.94,6.21,5.62,21.93,9.75,67.46,0.32,32
HSBC Medium to Long Duration Dir,Direct,17390,Debt: Medium to Long Duration,INF336L01DE2,120059,7.34,4.66,9.46,AAA,5,3,3,9,20,Moderately High Risk,Average,1.73,6.32,5.93,0.57,6.02,5.18,44.96,8.06,46.68,0.3,16
ICICI Pru Bond Dir,Direct,17100,Debt: Medium to Long Duration,INF109K01V83,120619,7.56,6.3,14.99,AAA,7,3,2,9,21,Moderate Risk,Average,1.73,6.32,5.93,2.2,6.88,6.2,35.47,7.12,57.08,0.33,55
ICICI Pru Diversified Debt Strategy Active FoF Dir,Direct,17928,Debt: Medium to Long Duration,INF109K01X73,120702,--,--,--,AAA,1,1,1,9,12,High Risk,Poor,1.73,6.32,5.93,3.97,7.09,6.35,27.21,3.34,41.58,0.26,4
JM Medium to Long Duration Dir,Direct,17172,Debt: Medium to Long Duration,INF192K01CW5,120430,7.13,4.09,4.94,AAA,4,4,5,9,22,Moderate Risk,Average,1.73,6.32,5.93,1.57,6.26,5.41,23.19,4.67,71.82,0.31,7
Kotak Bond Dir,Direct,16749,Debt: Medium to Long Duration,INF174K01JC0,119735,7.55,5.71,10.51,AAA,7,3,3,9,22,Moderate Risk,Average,1.73,6.32,5.93,1.47,6.6,6.09,29.09,6.84,59.03,0.32,48
LIC MF Medium to Long Duration Dir,Direct,16768,Debt: Medium to Long Duration,INF767K01EW0,120279,7.16,5.53,10.69,AAA,5,3,3,9,20,Moderately High Risk,Average,1.73,6.32,5.93,1.86,6.85,5.94,36.54,6.63,56.51,0.32,14
Nippon India Medium to Long Duration Dir,Direct,16835,Debt: Medium to Long Duration,INF204K01XS2,118687,7.21,6.12,12.34,AAA,6,3,3,9,21,Moderate Risk,Average,1.73,6.32,5.93,1.48,6.27,6.02,8.25,10.6,79.48,1.37,16
SBI Medium to Long Duration Dir,Direct,16230,Debt: Medium to Long Duration,INF200K01SR2,119714,7.88,4.59,8.73,AAA,8,3,4,9,24,Moderate Risk,Average,1.73,6.32,5.93,2.03,6.51,6.11,14.1,6.95,37.94,0.31,30
UTI Medium to Long Duration Dir,Direct,15861,Debt: Medium to Long Duration,INF789F01SQ6,120689,7.94,5.21,8.49,AAA,7,3,3,9,22,Moderate Risk,Average,1.73,6.32,5.93,1.14,5.9,8.36,31.23,2.94,43.24,0.32,23
UTI Medium to Long Duration Seg Port Dir,Direct,40720,--,INF789F01SQ6,120689,--,--,--,--,1,1,10,1,13,High Risk,Poor,--,--,--,--,--,--,--,--,--,--,--
ABSL Money Manager Dir,Direct,15826,Debt: Money Market,INF209K01UU3,119511,7.3,0.75,0.75,AAA,6,9,9,9,33,Low Risk,Good,5.93,7.15,6.34,5.89,7.25,6.46,93.01,-6.93,13.65,0.27,165
Axis Money Market Dir,Direct,40197,Debt: Money Market,INF846K01Q62,147567,7.02,0.65,0.65,AAA,5,10,10,9,34,Low Risk,Good,5.93,7.15,6.34,5.98,7.3,6.47,84.72,3.94,11.04,0.3,104
Bajaj Finserv Money Market Dir,Direct,43661,Debt: Money Market,INF0QA701334,151889,6.93,0.7,0.7,AAA,4,10,10,9,33,Low Risk,Good,5.93,--,--,5.97,--,--,81.16,4.22,14.25,0.37,73
Bandhan Money Market Dir,Direct,16515,Debt: Money Market,INF194K01M80,118384,6.96,0.67,0.67,AAA,4,10,10,9,33,Low Risk,Good,5.93,7.15,6.34,6,7.26,6.37,85,1.31,13.47,0.22,96
Bank of India Money Market Dir,Direct,44948,Debt: Money Market,INF761K01GO5,153294,7.03,0.67,0.67,AAA,5,10,10,9,34,Low Risk,Good,5.93,--,--,6.05,--,--,89.29,1.93,8.58,0.2,26
Baroda BNP Paribas Money Market Dir,Direct,40016,Debt: Money Market,INF955L01ID0,147377,7.22,0.66,0.66,AAA,6,10,10,9,35,Very Low Risk,Good,5.93,7.15,6.34,5.98,7.07,6.13,96.8,-6.78,9.64,0.34,53
DSP Savings Dir,Direct,16459,Debt: Money Market,INF740K01NU2,119106,7.18,0.73,0.73,AAA,6,9,9,9,33,Low Risk,Good,5.93,7.15,6.34,5.93,7.06,6.17,88.37,-1.45,12.84,0.24,116
Edelweiss Money Market Dir,Direct,17429,Debt: Money Market,INF843K01CE1,140237,7.06,0.71,0.66,AAA,5,10,10,9,34,Low Risk,Good,5.93,7.15,6.34,5.93,7.15,6.18,89.73,2.1,7.86,0.31,37
Franklin India Money Market Dir,Direct,16748,Debt: Money Market,INF090I01GV8,118506,7.14,0.51,0.64,AAA,5,10,10,9,34,Low Risk,Good,5.93,7.15,6.34,5.92,7.25,6.35,88.81,10.77,0.18,0.25,41
Groww Money Market Dir,Direct,45614,--,INF666M01MW3,153982,6.63,0.43,0.43,AAA,4,10,10,9,33,Low Risk,Good,--,--,--,24,22,18,77.97,21.87,--,0.16,12
HDFC Money Market Dir,Direct,16004,Debt: Money Market,INF179KB1HU9,119092,7.23,0.7,0.7,AAA,5,10,10,9,34,Low Risk,Good,5.93,7.15,6.34,5.93,7.25,6.43,90.75,-0.56,9.5,0.31,106
HSBC Money Market Dir,Direct,16223,Debt: Money Market,INF917K01FE6,151054,7.03,0.71,0.71,AAA,5,10,10,9,34,Low Risk,Good,5.93,7.15,6.34,5.85,7.14,6.23,84.86,1.02,13.92,0.2,80
ICICI Pru Money Market Dir,Direct,15854,Debt: Money Market,INF109K01R14,120211,7.11,0.69,0.7,AAA,5,10,10,9,34,Low Risk,Good,5.93,7.15,6.34,5.88,7.23,6.39,85.36,1.07,13.29,0.28,114
Invesco India Money Market Dir,Direct,16726,Debt: Money Market,INF205K01RY9,120507,7.07,0.69,0.69,AAA,5,10,10,9,34,Low Risk,Good,5.93,7.15,6.34,5.83,7.08,6.18,89.15,1.19,9.38,0.28,61
JioBlackRock Money Market Dir,Direct,45287,--,INF22M001028,153649,6.97,0.79,0.79,AAA,4,10,10,9,33,Low Risk,Good,--,--,--,24,22,18,83.21,0.69,15.83,0.26,27
Kotak Money Market Dir,Direct,16350,Debt: Money Market,INF174K01MW2,119746,7.11,0.68,0.68,AAA,5,10,10,9,34,Low Risk,Good,5.93,7.15,6.34,5.92,7.23,6.42,86.36,-2.36,15.72,0.28,122
LIC MF Money Market Dir,Direct,42409,Debt: Money Market,INF767K01RE0,150392,6.89,0.52,0.52,AAA,6,10,10,9,35,Very Low Risk,Good,5.93,7.15,--,6.07,6.61,--,85.37,-0.24,14.66,0.22,63
Mirae Asset Money Market Dir,Direct,41643,Debt: Money Market,INF769K01HN8,149112,7.01,0.69,0.69,AAA,5,10,10,9,34,Low Risk,Good,5.93,7.15,--,5.85,7.24,--,86.99,0.14,12.65,0.22,64
Nippon India Money Market Dir,Direct,16121,Debt: Money Market,INF204K01ZP3,118719,7.14,0.69,0.7,AAA,6,10,10,9,35,Very Low Risk,Good,5.93,7.15,6.34,5.92,7.27,6.48,84.92,1.27,13.52,0.29,120
PGIM India Money Market Dir,Direct,40775,Debt: Money Market,INF663L01T84,148161,7,0.63,0.63,AAA,5,10,10,9,34,Low Risk,Good,5.93,7.15,6.34,5.78,7.06,6.35,86.05,12.81,0.49,0.65,10
SBI Savings Dir,Direct,17152,Debt: Money Market,INF200K01SZ5,119821,6.99,0.7,0.73,AAA,5,10,10,9,34,Low Risk,Good,5.93,7.15,6.34,5.78,7.18,6.37,85.45,1.76,12.52,0.27,82
Shriram Money Market Dir,Direct,45778,--,INF680P01471,154144,7.1,0.74,0.74,AAA,3,10,10,9,32,Low Risk,Good,--,--,--,24,22,18,87.78,0.23,11.99,--,13
Sundaram Money Market Dir,Direct,37726,Debt: Money Market,INF903JA1FR6,145050,7.07,0.65,0.65,AAA,5,10,10,9,34,Low Risk,Good,5.93,7.15,6.34,5.86,7.08,6.21,84.95,8.95,5.85,0.25,40
TRUSTMF Money Market Dir,Direct,42422,Debt: Money Market,INF0GCD01503,150513,6.77,0.59,0.59,AAA,4,10,10,9,33,Low Risk,Good,5.93,7.15,--,5.87,7,--,84.28,2.86,12.46,0.4,18
Tata Money Market Dir,Direct,16711,Debt: Money Market,INF277K01PR6,119424,7.05,0.64,0.64,AAA,4,9,9,9,31,Low Risk,Good,5.93,7.15,6.34,6.05,7.39,6.57,83.99,-0.06,15.8,0.27,92
UTI Money Market Dir,Direct,15971,Debt: Money Market,,,7.11,0.67,0.67,AAA,3,10,10,9,32,Low Risk,Good,5.93,7.15,6.34,5.91,7.25,6.44,88.36,-2.37,13.73,0.29,104
Union Money Market Dir,Direct,41649,Debt: Money Market,INF582M01HG5,149117,6.68,0.45,0.45,AAA,4,10,10,9,33,Low Risk,Good,5.93,7.15,--,6.13,7.04,--,84.02,5.04,10.88,0.06,36
ABSL US Treasury 1-3 Year Bonds ETFs Passive FoF Dir*,Direct,43824,--,INF209KB16W7,152140,3.9,--,1.96,D,1,1,8,1,11,High Risk,Poor,--,--,--,14.9,--,--,--,0.5,--,98.4,2
ABSL US Treasury 3-10 Year Bonds ETFs Passive FoF Dir*,Direct,43820,--,INF209KB12X4,152150,4.11,--,5.66,D,1,1,5,1,8,High Risk,Poor,--,--,--,15.01,--,--,--,0.47,--,99.53,2
Axis US Specific Treasury Dynamic Debt Passive FoF Dir*,Direct,43978,--,INF846K017T9,152240,4.29,--,8.33,D,1,1,4,1,7,High Risk,Poor,--,--,--,15.89,--,--,--,1.63,--,98.37,1
Bandhan US Treasury Bond 0-1 year Specific Debt Passive FoF Dir,Direct,43353,--,INF194KB1FV2,151548,--,--,--,D,1,1,1,1,4,High Risk,Poor,--,--,--,15.75,9.59,--,--,0.73,--,99.27,1
DSP US Specific Debt Passive FoF Dir*,Direct,44196,--,INF740KA1UJ6,152528,--,--,--,D,1,1,1,1,4,High Risk,Poor,--,--,--,15.99,--,--,--,0.24,--,99.76,2
360 ONE Overnight Dir,Direct,45316,--,INF579M01BG4,153703,5.38,--,0.01,GOI/Cash,1,1,10,10,22,Moderate Risk,Average,--,--,--,35,32,27,--,96.4,3.6,--,3
ABSL CRISIL Liquid Overnight ETF,Direct,43247,Debt: Overnight,INF209K01VA3,119568,--,--,--,Cash,1,1,1,10,13,High Risk,Poor,5.23,6.1,--,4.91,5.78,--,--,100,--,--,--
ABSL Overnight Dir,Direct,38135,Debt: Overnight,INF209KB1ZH2,145486,5.28,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.34,6.22,5.59,--,97.31,2.69,--,1
Axis Overnight Dir,Direct,39294,Debt: Overnight,INF846K01N65,146675,5.33,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.39,6.25,5.62,--,94.69,5.31,--,7
Bajaj Finserv Overnight Dir,Direct,43603,Debt: Overnight,INF0QA701177,151849,5.34,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,--,--,5.41,--,--,--,94.09,5.91,--,5
Bandhan Overnight Dir,Direct,38838,Debt: Overnight,INF194KB1447,146191,5.3,0.02,0.02,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.36,6.22,5.59,--,91.08,8.67,0.25,4
Bank of India Overnight Dir,Direct,40573,Debt: Overnight,INF761K01EU7,147951,5.29,0,0,Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.61,6.36,5.71,--,100,--,--,--
Baroda BNP Paribas Overnight Dir,Direct,39818,Debt: Overnight,INF955L01HV4,147196,5.29,0,0.01,Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.37,6.23,5.59,--,98.85,1.15,--,2
Canara Robeco Overnight Dir,Direct,40153,Debt: Overnight,INF760K01JM5,147531,5.24,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.3,6.13,5.52,--,96.62,3.38,--,2
DSP Overnight Dir,Direct,38748,Debt: Overnight,INF740KA1MC8,146062,5.1,--,0.01,GOI/Cash,1,1,10,10,22,Moderate Risk,Average,5.32,6.2,5.57,5.36,6.22,5.59,--,93.88,6.12,--,5
Edelweiss Overnight Dir,Direct,40175,Debt: Overnight,INF754K01JV9,147570,5.34,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.31,6.17,5.53,--,97.6,2.4,--,1
Franklin India Overnight Dir,Direct,39884,Debt: Overnight,INF090I01SS9,147214,5.35,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.41,6.2,5.55,--,94.27,5.73,--,5
Groww Overnight Dir,Direct,40037,Debt: Overnight,INF666M01GL8,147450,5.4,0.01,0.01,Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.26,6.14,5.45,--,100,--,--,--
HDFC Overnight Dir,Direct,16000,Debt: Overnight,INF179KB1HT1,119110,5.27,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.31,6.17,5.54,--,94.08,5.92,--,6
HSBC Overnight Dir,Direct,39921,Debt: Overnight,INF336L01OF6,147287,5.26,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.36,6.22,5.59,--,93.86,6.14,--,4
Helios Overnight Dir,Direct,43835,Debt: Overnight,INF0R8701079,152152,5.24,0,0,Cash,1,10,10,10,31,Low Risk,Good,5.32,--,--,5.2,--,--,--,100,--,--,--
ICICI Pru Overnight Dir,Direct,38261,Debt: Overnight,INF109KC11G1,145536,5.32,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.36,6.21,5.57,--,93.95,6.05,--,6
ITI Overnight Dir,Direct,40356,Debt: Overnight,INF00XX01564,147713,5.27,0.01,0.01,Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.14,5.99,5.41,--,100,--,--,--
Invesco India Overnight Dir,Direct,40514,Debt: Overnight,INF205KA1163,147883,5.28,0.01,0.01,Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.35,6.22,5.58,--,98.52,1.48,--,1
JM Overnight Dir,Direct,40475,Debt: Overnight,INF192K01MB8,147837,5.25,0.01,0.01,Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.21,6.12,5.52,--,100,--,--,--
JioBlackRock Overnight Dir,Direct,45293,--,INF22M001036,153650,5.34,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,--,--,--,35,32,27,--,96.03,3.97,--,3
Kotak Overnight Dir,Direct,38846,Debt: Overnight,INF174KA1BF9,146141,5.32,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.37,6.23,5.59,--,96.52,3.48,--,6
LIC MF Overnight Dir,Direct,40147,Debt: Overnight,INF767K01QI3,147515,5.33,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.36,6.22,5.6,--,94.34,5.66,--,3
Mahindra Manulife Overnight Dir,Direct,40204,Debt: Overnight,INF174V01838,147564,5.38,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.35,6.21,5.59,--,92.71,7.29,--,3
Mirae Asset Overnight Dir,Direct,40366,Debt: Overnight,INF769K01FG6,147736,5.33,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.37,6.23,5.61,--,94.62,5.38,--,2
NJ Overnight Dir,Direct,42425,Debt: Overnight,INF0J8L01081,150369,5.27,0.01,0.01,Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,--,5.28,6.14,--,--,100,--,--,--
Nippon India Overnight Dir,Direct,38543,Debt: Overnight,INF204KB1R31,145810,5.32,0.01,0.01,AAA,1,10,10,9,30,Low Risk,Good,5.32,6.2,5.57,5.37,6.24,5.61,--,82.18,4.67,13.15,4
PGIM India Overnight Dir,Direct,40236,Debt: Overnight,INF663L01T01,147606,5.35,0,0,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.25,6.18,5.57,--,95.49,4.51,--,1
Quant Overnight Dir,Direct,42932,Debt: Overnight,INF966L01AZ7,151190,4.95,0.01,0.01,Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,--,5.18,6.35,--,--,100,--,--,--
SBI Overnight Dir,Direct,17189,Debt: Overnight,INF200K01TK5,119833,5.24,0,0,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.32,6.18,5.56,--,96.1,3.9,--,6
Samco Overnight Dir,Direct,42551,Debt: Overnight,INF0K1H01040,150631,5.27,0.01,0.01,Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,--,5.09,6.01,--,--,100,--,--,--
Shriram Overnight Dir,Direct,42470,Debt: Overnight,INF680P01497,154394,5.37,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,--,5.33,6.15,--,--,96.12,3.88,--,1
Sundaram Overnight Dir,Direct,39565,Debt: Overnight,INF903JA1HG5,146963,5.23,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.31,6.2,5.56,--,95.2,4.8,--,2
TRUSTMF Overnight Dir,Direct,42046,Debt: Overnight,INF0GCD01453,149797,5.28,0.01,0.01,Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,--,5.25,6.16,--,--,98.19,1.81,--,1
Tata Overnight Dir,Direct,39638,Debt: Overnight,INF277K018T5,146980,5.34,0,0,Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.39,6.25,5.6,--,98.06,1.94,--,3
UTI Overnight Dir,Direct,17630,Debt: Overnight,INF789FB1S71,120785,5.25,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.36,6.22,5.59,--,95.56,4.44,--,6
Union Overnight Dir,Direct,39665,Debt: Overnight,INF582M01FA2,147003,5.37,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,6.2,5.57,5.35,6.22,5.58,--,93.92,6.08,--,4
Zerodha Overnight Dir,Direct,45081,Debt: Overnight,INF0R8F01075,153436,6.25,0.01,0.01,GOI/Cash,1,10,10,10,31,Low Risk,Good,5.32,--,--,5.22,--,--,--,96.72,3.28,--,2
ABSL Retirement 50s + Debt Dir,Direct,39193,Debt: Short Duration,INF209KB1K03,146943,6.32,3.24,5.91,GOI/Cash,2,5,5,9,21,Moderate Risk,Average,4.34,7.12,6.56,2.91,5.79,5.11,7.23,48.78,43.99,--,6
ABSL Short Term Dir,Direct,15930,Debt: Short Duration,INF209K01XK8,119498,7.49,2.57,3.1,AAA,7,6,7,9,29,Low Risk,Good,4.34,7.12,6.56,4.57,7.37,6.7,65.74,6.83,12.58,0.41,93
Axis Short Duration Dir,Direct,15752,Debt: Short Duration,INF846K01EI1,120510,7.67,2.37,3,AAA,7,6,7,9,29,Low Risk,Good,4.34,7.12,6.56,4.97,7.47,6.62,71.12,2.8,11.49,0.4,195
Bandhan Short Duration Dir,Direct,17074,Debt: Short Duration,INF194K01U07,118407,7.38,2.82,3.74,AAA,5,8,8,9,30,Low Risk,Good,4.34,7.12,6.56,4.6,7.28,6.24,79.24,2.59,17.8,0.37,57
Bank of India Short Term Income Dir,Direct,16977,Debt: Short Duration,INF761K01736,119382,7.19,2.77,3.39,AAA,5,6,6,9,26,Moderate Risk,Average,4.34,7.12,6.56,4.44,7.28,10.51,52.79,4.35,23.07,0.29,30
Baroda BNP Paribas Short Duration Dir,Direct,15785,Debt: Short Duration,INF955L01BD5,119400,7.5,1.9,2.21,AAA,7,6,7,9,29,Low Risk,Good,4.34,7.12,6.56,4.2,7.22,6.33,80.44,4.21,9.16,0.39,36
Canara Robeco Short Duration Dir,Direct,15780,Debt: Short Duration,INF760K01DX5,118320,7.05,1.43,1.56,AAA,6,7,8,9,30,Low Risk,Good,4.34,7.12,6.56,4.39,6.84,5.86,81.71,8.03,9.72,0.54,15
DSP Short Term Dir,Direct,16429,Debt: Short Duration,INF740K01NJ5,119226,7.63,2.69,3.29,AAA,7,6,6,9,28,Low Risk,Good,4.34,7.12,6.56,4.11,7,6.08,72.29,0.3,18.87,0.34,62
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL SD Index Dir,Direct,43109,Debt: Short Duration,INF754K01PF9,150671,6.56,2.46,2.71,GOI/Cash,3,6,7,10,26,Moderate Risk,Average,4.34,7.12,--,4.27,7.08,--,--,3.65,96.35,--,12
Franklin Ind ST Incm Seg Port 3 Direct,Direct,40847,--,,,--,--,--,--,1,1,1,1,4,High Risk,Poor,--,--,--,--,--,--,--,--,--,--,--
Groww Short Term Dir,Direct,20851,Debt: Short Duration,INF666M01AC0,123704,7.09,2.44,4.26,AAA,5,8,8,9,30,Low Risk,Good,4.34,7.12,6.56,4.34,7.05,5.96,71.82,12.68,15.12,0.38,16
HDFC Short Term Debt Dir,Direct,16151,Debt: Short Duration,INF179K01YM7,119016,7.62,2.43,3.21,AAA,7,6,6,9,28,Low Risk,Good,4.34,7.12,6.56,4.53,7.32,6.46,68.86,4.04,12.04,0.33,149
HSBC Short Duration Dir,Direct,16299,Debt: Short Duration,INF917K01IQ4,151067,7.49,2.19,2.5,AAA,6,6,7,9,28,Low Risk,Good,4.34,7.12,6.56,4.12,7,5.95,82.63,1.89,15.12,0.34,88
ICICI Pru Short Term Dir,Direct,15866,Debt: Short Duration,INF109K013N3,120754,7.8,2.8,4.31,AAA,8,6,6,9,29,Low Risk,Good,4.34,7.12,6.56,5.34,7.68,7.01,61.06,1.57,17.5,0.29,179
Invesco India Short Duration Dir,Direct,16839,Debt: Short Duration,INF205K01UH8,120560,7.64,2.49,3.01,AAA,6,6,7,9,28,Low Risk,Good,4.34,7.12,6.56,4.25,7.06,6.04,68.8,4.72,16.72,0.38,46
JM Short Duration Dir,Direct,42463,Debt: Short Duration,INF192K01MP8,150545,7.29,1.93,2.14,AAA,5,6,7,9,27,Moderate Risk,Average,4.34,7.12,--,4.26,6.91,--,74.77,4.27,20.5,0.46,19
JioBlackRock Short Duration Dir,Direct,45726,--,INF22M001143,154079,7.11,1.4,1.4,AAA,3,10,10,9,32,Low Risk,Good,--,--,--,26,25,22,84.62,13.16,2.22,--,10
Kotak Bond Short Term Dir,Direct,16339,Debt: Short Duration,INF174K01JI7,119739,7.62,2.5,3.41,AAA,7,6,6,9,28,Low Risk,Good,4.34,7.12,6.56,4.14,7.22,6.35,79.81,2.84,16.88,0.32,117
LIC MF Short Duration Dir,Direct,38779,Debt: Short Duration,INF767K01PW6,145954,7.19,2.77,3.15,AAA,6,6,7,9,28,Low Risk,Good,4.34,7.12,6.56,4.24,7.2,6.15,40.88,10.41,32.87,0.53,14
Mahindra Manulife Short Duration Dir,Direct,41315,Debt: Short Duration,INF174V01AM5,148729,7.64,2.24,2.84,AAA,7,6,7,9,29,Low Risk,Good,4.34,7.12,6.56,4.96,7.47,6.47,52.75,5.67,11.69,0.29,22
Mirae Asset Short Duration Dir,Direct,35431,Debt: Short Duration,INF769K01DX6,142641,7.46,2.92,5.87,AAA,5,6,7,9,27,Moderate Risk,Average,4.34,7.12,6.56,4.07,7.12,6.24,70.68,5.03,13.71,0.5,47
Nippon India Short Duration Dir,Direct,16180,Debt: Short Duration,INF204K01B32,118796,7.76,2.49,2.82,AAA,7,6,7,9,29,Low Risk,Good,4.34,7.12,6.56,4.5,7.41,6.56,62.21,2.75,21.7,0.39,114
SBI Short Term Debt Dir,Direct,16906,Debt: Short Duration,INF200K01VE4,119816,7.77,2.2,2.55,AAA,7,6,6,9,28,Low Risk,Good,4.34,7.12,6.56,4.31,7.13,6.24,65.05,3.52,14.87,0.36,80
Sundaram Short Duration Dir,Direct,16590,Debt: Short Duration,INF173K01GP0,149587,7.36,1.77,1.96,AAA,6,6,7,9,28,Low Risk,Good,4.34,7.12,6.56,4.55,7.21,7.79,58.21,6.78,18.65,0.34,25
TRUSTMF Short Duration Dir,Direct,41606,Debt: Short Duration,INF0GCD01370,149076,6.99,1.4,1.48,AAA,6,7,7,9,29,Low Risk,Good,4.34,7.12,--,4.19,6.86,--,73.52,24.09,2.02,0.37,10
Tata Short Term Bond Dir,Direct,16736,Debt: Short Duration,INF277K01QR4,119949,7.45,2,2.33,AAA,6,6,7,9,28,Low Risk,Good,4.34,7.12,6.56,4.1,6.96,6.17,79.76,6.61,13.28,0.31,50
UTI Short Duration Dir,Direct,17052,Debt: Short Duration,INF789F01XY0,120718,7.6,2.6,3.39,AAA,1,1,1,1,4,High Risk,Poor,4.34,7.12,6.56,4.34,7.17,7.41,67.3,5.46,13.92,0.34,54
Union Short Duration Dir,Direct,44890,Debt: Short Duration,INF582M01KO3,153242,7.32,2.25,2.54,AAA,6,6,7,9,28,Low Risk,Good,4.34,--,--,4.03,--,--,78.13,8.65,11.46,1.76,9
Zerodha Nifty Short Duration G-Sec Index Dir,Direct,45752,--,INF0R8F01182,154109,6.5,2.39,2.63,GOI/Cash,1,6,7,10,24,Moderate Risk,Average,--,--,--,26,25,22,--,3.78,96.22,--,3
ABSL CRISIL IBX 50:50 Gilt+SDL Apr 2028 Index Dir,Direct,42601,Debt: Target Maturity,INF209KB14N1,150702,6.59,1.67,1.76,GOI/Cash,2,7,7,10,26,Moderate Risk,Average,4.22,7.06,--,4.27,7.15,--,--,3,97,--,24
