fund_name,plan,vr_id,category,isin,scheme_code,ytm,mac_duration,avg_maturity,avg_credit_rating,ytm_score_10,duration_score_10,maturity_score_10,credit_score_10,total_score_40,risk_category,fund_rating,b1y,b3y,b5y,f1y,f3y,f5y,cr_aaa,cr_cash_eq,cr_sov,cr_unrated,num_securities
SBI Floating Rate Debt Dir,Direct,41154,Debt: Floater,INF200KA1R64,148550,7.15,2.33,7.13,AAA,4,8,6,9,27,Moderate Risk,Average,5.13,7.61,6.62,5.23,7.53,6.54,4.28,14.27,80.62,0.83,16
Tata Floating Rate Dir,Direct,41544,Debt: Floater,INF277KA1026,149007,--,--,--,AAA,5,8,8,9,30,Low Risk,Good,5.13,7.61,--,4.88,7.36,--,69.45,-60.7,81.46,0.74,15
UTI Floater Dir,Direct,38032,Debt: Floater,INF789F1ACX5,145295,6.72,0.86,1.26,AAA,5,9,8,9,31,Low Risk,Good,5.13,7.61,6.62,5.34,7.04,6.2,83.28,5.45,10.94,0.33,43
ABSL CRISIL Broad Based Gilt ETF,Direct,44415,Debt: Gilt,INF209KB12O3,150778,7.04,6.45,14.3,GOI/Cash,4,3,3,10,20,Moderately High Risk,Average,-0.48,--,--,1.07,--,--,--,2.71,97.29,--,5
ABSL Government Securities Dir,Direct,15896,Debt: Gilt,INF209K01XP7,119605,7.76,11.61,--,GOI/Cash,7,1,1,10,19,Moderately High Risk,Average,-0.53,5.93,5.56,-2.45,5.31,5.18,--,1.89,98.11,--,14
Axis Gilt Dir,Direct,15681,Debt: Gilt,INF846K01DD4,120447,7.25,8.43,19.78,GOI/Cash,5,2,2,10,19,Moderately High Risk,Average,-0.53,5.93,5.56,0.81,6.74,5.91,--,5.56,94.44,--,21
Bajaj Finserv Gilt Dir,Direct,44862,Debt: Gilt,INF0QA701AP9,153206,6.51,5.86,13.95,GOI/Cash,1,5,5,10,21,Moderate Risk,Average,-0.53,--,--,-1.13,--,--,--,10.62,89.38,--,5
Bandhan Gilt Dir,Direct,16715,Debt: Gilt,INF194K01Q29,118464,7.57,10.66,24.7,GOI/Cash,1,7,8,10,26,Moderate Risk,Average,-0.53,5.93,5.56,2.06,7.11,6.09,--,1.65,98.32,0.03,2
Baroda BNP Paribas Gilt Dir,Direct,15706,Debt: Gilt,INF955L01AD7,119341,7.04,7.02,15.23,GOI/Cash,5,2,2,10,19,Moderately High Risk,Average,-0.53,5.93,5.56,-0.51,5.97,5.52,--,15.42,84.58,--,12
Canara Robeco Gilt Dir,Direct,15745,Debt: Gilt,INF760K01FC4,118299,6.81,4.75,6.99,GOI/Cash,5,2,2,10,19,Moderately High Risk,Average,-0.53,5.93,5.56,-0.82,5.67,5.32,--,14.73,85.27,--,8
DSP Gilt Dir,Direct,16391,Debt: Gilt,INF740K01NF3,119099,7.8,11.44,27.34,GOI/Cash,7,1,1,10,19,Moderately High Risk,Average,-0.53,5.93,5.56,-1.09,6.11,5.78,--,0.55,99.45,--,10
Edelweiss Government Securities Dir,Direct,24229,Debt: Gilt,INF843K01GS2,140298,7.3,9.57,24.17,GOI/Cash,4,2,2,10,18,Moderately High Risk,Average,-0.53,5.93,5.56,-1.6,5.65,5.44,--,16,84,--,7
Franklin India Government Securities Dir,Direct,16888,Debt: Gilt,INF090I01HS2,118498,7,4.21,13.39,GOI/Cash,7,2,1,10,20,Moderately High Risk,Average,-0.53,5.93,5.56,2.07,6.03,5.3,--,19.31,80.69,--,15
Groww Gilt Dir,Direct,45121,Debt: Gilt,INF666M01KK2,153477,7.26,10.17,29.6,GOI/Cash,3,3,2,10,18,Moderately High Risk,Average,-0.53,--,--,-2.01,--,--,--,6.75,93.25,--,3
HDFC Gilt Dir,Direct,16046,Debt: Gilt,INF179K01VS0,119116,7.36,8.32,19.75,GOI/Cash,6,2,2,10,20,Moderately High Risk,Average,-0.53,5.93,5.56,-0.13,6.09,5.41,--,4.35,95.65,--,39
HSBC Gilt Dir,Direct,16236,Debt: Gilt,INF917K01FI7,151014,7.19,7.41,17.54,GOI/Cash,5,2,1,10,18,Moderately High Risk,Average,-0.53,5.93,5.56,-1.71,5.38,5.07,--,17.69,82.31,--,10
ICICI Pru Gilt Dir,Direct,15953,Debt: Gilt,INF109K018C5,120590,7.63,9.45,20.78,GOI/Cash,7,2,1,10,20,Moderately High Risk,Average,-0.53,5.93,5.56,2.13,7.05,6.59,--,3.87,95.02,--,47
ICICI Pru Nifty 5 yr Benchmark G-SEC ETF,Direct,42160,Debt: Gilt,INF109KC14A8,149928,6.78,3.92,4.52,GOI/Cash,3,5,6,10,24,Moderate Risk,Average,-0.48,5.5,--,3.32,7.06,--,--,4.56,95.44,--,2
Invesco India Gilt Dir,Direct,16750,Debt: Gilt,INF205K01SN0,120520,7.59,11.22,28.01,GOI/Cash,6,1,1,10,18,Moderately High Risk,Average,-0.53,5.93,5.56,-1.33,6.03,5.39,--,4.63,95.37,--,4
