Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,ISIN,Scheme Code,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Sortino Ratio,Std Dev,Mean Return (%),No. of Stocks,Top 10 Stocks (%),Top 5 Stocks (%),Top 3 Sectors (%),No. of Securities,Portfolio P/E,Portfolio P/B,Alpha Score (/12),Beta Score (/6),Sharpe Score (/12),Sortino Score (/4),Std Dev Score (/6),VR Stars,Score (/40),Risk Category,Fund Rating,Top Holdings Count,Fund URL
Baroda BNP Paribas Midcap Dir,equity,equity,Direct,13.18,17.9,16.03,BSE 150 MidCap TRI*,INF251K01HQ0,150212,8.64,16.1,16.21,2.8,0.85,0.83,1.02,15.41,18.52,71,22.86,13.12,58.48,,28.04,4.38,8,5,6,2,3,4,24,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/15726/
Baroda BNP Paribas Nifty Midcap 150 Index Dir,equity,equity,Direct,9.38,,,BSE 150 MidCap TRI*,INF251K01UA7,153000,8.64,,,,,,,,,150,17.9,10.57,55.21,,25.4,3.97,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44651/
Canara Robeco Mid Cap Dir,equity,equity,Direct,8.55,17.74,,BSE 150 MidCap TRI*,INF760K01KI1,150817,8.64,16.1,,1.93,0.93,0.75,1.02,17.18,18.62,58,24.57,12.91,53.8,,40.03,4.57,8,4,4,2,2,3,20,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/42705/
DSP Midcap Dir,equity,equity,Direct,7.69,14.97,12.33,BSE 150 MidCap TRI*,INF740K01PX1,119071,8.64,16.1,16.21,-0.56,0.96,0.6,0.79,17.8,16.45,64,27.72,15.03,53.16,,31.85,4.03,4,3,4,0,2,2,13,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/16438/
DSP Nifty Midcap 150 ETF,equity,equity,Direct,,,,BSE 150 MidCap TRI*,INF579M01AN2,151165,,,,,,,,,,150,17.98,10.67,55.5,,29.44,3.79,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45652/
DSP Nifty Midcap 150 Index Dir,equity,equity,Direct,,,,BSE 150 MidCap TRI*,INF740KA1XB7,154014,,,,,,,,,,150,18.11,10.75,55.81,,25.4,3.97,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45650/
DSP Nifty Midcap 150 Quality 50 ETF,equity,equity,Direct,0.51,9.11,,BSE 500 TRI*,INF740KA1RB9,150428,2.44,11.32,,-1.84,1.05,0.32,0.43,17.01,11.1,50,35.16,21.31,52.11,,31.81,6.17,4,3,2,0,2,,11,High Risk,Poor,25,https://www.valueresearchonline.com/funds/41902/
DSP Nifty Midcap 150 Quality 50 Index Dir,equity,equity,Direct,0.49,9.1,,BSE 500 TRI*,INF740KA1RB9,150428,2.44,11.32,,-1.85,1.05,0.32,0.43,17.01,11.08,50,35.16,21.31,52.11,,30.23,5.83,4,3,2,0,2,,11,High Risk,Poor,25,https://www.valueresearchonline.com/funds/42316/
Edelweiss Mid Cap Dir,equity,equity,Direct,10.86,21.74,19.3,BSE 150 MidCap TRI*,INF843K01AO4,140228,8.64,16.1,16.21,5.16,0.96,0.94,1.17,17.65,22.21,94,22.62,12.93,57.44,,31.82,4.57,12,3,6,2,2,5,25,Moderate Risk,Excellent,25,https://www.valueresearchonline.com/funds/16586/
Edelweiss Nifty Midcap150 Momentum 50 Index Dir,equity,equity,Direct,5.69,15.67,,BSE 500 TRI*,INF754K01QD2,150902,2.44,11.32,,4.35,1.17,0.62,0.81,19.94,18.13,50,43.5,24.94,68.77,,23.45,4.25,10,0,4,0,2,,16,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/42812/
Franklin India Mid Cap Dir,equity,equity,Direct,5.19,16.46,14.46,BSE 150 MidCap TRI*,INF090I01FH9,118533,8.64,16.1,16.21,0.7,0.94,0.69,0.89,17.06,17.42,75,23.47,13.24,59.46,,33.99,3.91,6,4,4,0,2,2,16,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/16003/
Groww Nifty Midcap 150 ETF,equity,equity,Direct,,,,BSE 150 MidCap TRI*,INF666M01MP7,153939,,,,,,,,,,150,18.01,10.69,55.41,,29.42,3.78,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45580/
Groww Nifty Midcap 150 Index Dir,equity,equity,Direct,,,,BSE 150 MidCap TRI*,INF666M01MP7,153939,,,,,,,,,,150,18.01,10.7,55.46,,25.4,3.97,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45578/
HDFC Mid Cap Dir,equity,equity,Direct,10.69,18.33,19.75,BSE 150 MidCap TRI*,INF179K01XQ0,118989,8.64,16.1,16.21,3.2,0.84,0.85,1.02,15.34,18.8,79,32.18,18.42,54.7,,28.83,3.48,10,5,6,2,3,5,26,Moderate Risk,Excellent,25,https://www.valueresearchonline.com/funds/16114/
HDFC NIFTY Midcap 150 ETF,equity,equity,Direct,9.91,16.16,,BSE 150 MidCap TRI*,INF179KC1GC8,151724,8.64,16.1,,0.22,1,0.67,0.87,17.94,17.73,150,18,10.69,55.51,,29.44,3.79,6,3,4,0,2,,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/43115/
HDFC NIFTY Midcap 150 Index Dir,equity,equity,Direct,9.71,15.86,,BSE 150 MidCap TRI*,INF179KC1GC8,151724,8.64,16.1,,-0.02,1,0.66,0.86,17.89,17.46,150,18,10.69,55.51,,25.4,3.97,4,3,4,0,2,2,13,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/43475/
HSBC Midcap Dir,equity,equity,Direct,23.3,25.13,19.5,BSE 150 MidCap TRI*,INF917K01FZ1,151036,8.64,16.1,16.21,7.7,1.04,1,1.19,20.04,25.68,79,36.17,20.38,69.62,,41.72,5.17,12,3,8,2,2,5,27,Low Risk,Excellent,25,https://www.valueresearchonline.com/funds/16280/
Helios Mid Cap Dir,equity,equity,Direct,15.53,,,BSE 150 MidCap TRI*,INF0R8701327,153326,8.64,,,,,,,,,68,27.35,14.41,67.5,,44.79,5.72,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44987/
ICICI Pru BSE Midcap Select ETF,equity,equity,Direct,14.68,18.51,14.06,BSE 150 MidCap TRI*,INF109K016L0,120586,8.64,16.1,16.21,1.51,1.04,0.72,0.91,19.17,19.48,30,44.44,23.8,66.56,,39.84,4.21,8,3,4,0,2,,17,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/32594/
ICICI Pru Midcap Dir,equity,equity,Direct,18.42,22.37,18.37,BSE 150 MidCap TRI*,INF109K011N7,120381,8.64,16.1,16.21,5.65,1.01,0.94,1.37,18.59,23.22,77,38.07,22.54,66.83,,35.19,4.26,12,3,6,2,2,4,25,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/15960/
ICICI Pru Nifty Midcap 150 ETF,equity,equity,Direct,10.12,16.28,16.8,BSE 150 MidCap TRI*,INF109KC1W58,149389,8.64,16.1,16.21,0.33,1,0.68,0.88,17.95,17.85,150,18.01,10.69,55.51,,29.46,3.79,6,3,4,0,2,,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/40555/
ICICI Pru Nifty Midcap 150 Index Dir,equity,equity,Direct,9.85,15.91,,BSE 150 MidCap TRI*,INF109KC1W58,149389,8.64,16.1,,0.02,1,0.66,0.86,17.91,17.51,150,18.02,10.7,55.55,,25.4,3.97,6,3,4,0,2,3,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41893/
ITI Mid Cap Dir,equity,equity,Direct,15.61,21.12,17.05,BSE 150 MidCap TRI*,INF00XX01929,148733,8.64,16.1,16.21,4.19,1.03,0.87,1.11,18.86,22.07,90,19.55,11.17,56.55,,31.63,4.19,10,3,6,2,2,3,23,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/41319/
Invesco India Mid cap Dir,equity,equity,Direct,12.4,24.34,20.52,BSE 150 MidCap TRI*,INF205K01MV6,120403,8.64,16.1,16.21,6.77,1.03,0.97,1.2,19.54,24.66,41,48.93,28.8,63.18,,48.31,4.95,12,3,6,2,2,5,25,Moderate Risk,Excellent,25,https://www.valueresearchonline.com/funds/16807/
JM Midcap Dir,equity,equity,Direct,13.3,19.52,,BSE 150 MidCap TRI*,INF192K01MV6,150815,8.64,16.1,,3.02,1.01,0.79,1.16,18.91,20.58,68,28.85,15.66,57.02,,36.36,4.57,10,3,4,2,2,4,21,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/42731/
JioBlackRock Nifty Midcap 150 Index Dir,equity,equity,Direct,9.84,,,BSE 150 MidCap TRI*,INF22M001077,153788,8.64,,,,,,,,,150,17.96,10.66,55.35,,25.4,3.97,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45427/
Kotak Midcap Dir,equity,equity,Direct,9.01,18.36,17.13,BSE 150 MidCap TRI*,INF174K01LT0,119775,8.64,16.1,16.21,2.46,0.95,0.77,0.96,17.77,19.32,71,28.76,16.1,56.26,,30.71,4.25,8,4,4,0,2,3,18,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/17134/
Kotak Nifty Midcap 150 ETF,equity,equity,Direct,10.03,,,BSE 150 MidCap TRI*,INF174K01KM7,119757,8.64,,,,,,,,,150,18,10.69,55.45,,29.45,3.79,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45037/
Kotak Nifty Midcap 150 Index Dir,equity,equity,Direct,9.66,,,BSE 150 MidCap TRI*,INF174KA1SR8,152767,8.64,,,,,,,,,150,18.02,10.7,55.53,,25.4,3.97,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45040/
Kotak Nifty Midcap 150 Momentum 50 Index Dir,equity,equity,Direct,5.69,,,BSE 500 TRI*,INF174KA1TM7,152916,2.44,,,,,,,,,50,43.49,24.94,68.76,,23.45,4.25,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44573/
Kotak Nifty Midcap 50 ETF,equity,equity,Direct,13.23,17.41,,BSE 150 MidCap TRI*,INF174KA1SR8,152767,8.64,16.1,,1.28,1.01,0.72,0.97,18.42,18.93,50,32.35,19.21,56.65,,34.6,3.83,6,3,4,0,2,,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41983/
Kotak Nifty Midcap 50 Index Dir,equity,equity,Direct,12.94,,,BSE 150 MidCap TRI*,INF174KA1SR8,152767,8.64,,,,,,,,,50,32.38,19.23,56.68,,36.23,4.07,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44446/
LIC MF Midcap Dir,equity,equity,Direct,10.69,17.24,13.73,BSE 150 MidCap TRI*,INF0QA701607,152162,8.64,16.1,16.21,0.6,1.03,0.67,0.91,18.93,18.44,52,30.38,17.15,59.49,,43.34,5.31,6,3,4,0,2,2,15,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/33333/
LIC MF Nifty Midcap 100 ETF,equity,equity,Direct,11.11,,,BSE 150 MidCap TRI*,INF767K01EW0,120279,8.64,,,,,,,,,100,21.98,13.07,57.55,,29.71,3.77,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44166/
Mahindra Manulife Mid Cap Dir,equity,equity,Direct,14.8,19.11,18.95,BSE 150 MidCap TRI*,INF0QA701607,152162,8.64,16.1,16.21,3.17,0.95,0.84,1.12,17.21,20.08,55,26.81,14.98,65.22,,33.88,3.71,10,4,6,2,2,4,24,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/34956/
Mirae Asset Midcap Dir,equity,equity,Direct,13.54,17,16.18,BSE 150 MidCap TRI*,INF769K01FA9,147445,8.64,16.1,16.21,0.72,1,0.69,0.87,18.05,18.17,66,31.41,17.04,54.19,,35.24,3.8,6,3,4,0,2,3,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/40048/
Mirae Asset Nifty MidSmallcap400 Mom Qlty 100 ETF FoF Dir,equity,equity,Direct,7.95,,,BSE 500 TRI*,INF769K01LN0,152645,2.44,,,,,,,,,,,,,,,,,,,,,,,,,1,https://www.valueresearchonline.com/funds/44305/
Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,equity,equity,Direct,8.06,,,BSE 500 TRI*,INF769K01LN0,152645,2.44,,,,,,,,,100,32.35,19.66,62,,29.7,5.34,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44302/
Mirae Asset Nifty Midcap 150 ETF,equity,equity,Direct,10.14,16.33,,BSE 150 MidCap TRI*,INF846K01EH3,120505,8.64,16.1,,0.37,1,0.68,0.89,17.94,17.89,150,18.01,10.69,55.51,,29.46,3.79,6,3,4,0,2,,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/42146/
Motilal Oswal Midcap Dir,equity,equity,Direct,0.63,18.83,22.37,BSE 150 MidCap TRI*,INF247L01445,127042,8.64,16.1,16.21,3.82,0.98,0.75,1,20.55,21.02,30,54.97,34.1,68.53,,46.41,5.51,10,3,4,2,2,3,21,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/24080/
Motilal Oswal Nifty Midcap 100 ETF,equity,equity,Direct,11.28,17.13,17.4,BSE 150 MidCap TRI*,INF846K01EH3,120505,8.64,16.1,16.21,0.93,1.03,0.71,0.95,18.62,18.83,100,21.95,13.03,57.42,,29.77,3.76,6,3,4,0,2,,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/12012/
Motilal Oswal Nifty Midcap 150 Dir,equity,equity,Direct,9.95,16.2,16.76,BSE 150 MidCap TRI*,INF955L01JF3,154679,8.64,16.1,16.21,0.26,1,0.67,0.88,17.94,17.78,150,18.01,10.7,55.54,,25.4,3.97,6,3,4,0,2,3,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/40242/
Motilal Oswal Nifty Midcap150 Momentum 50 ETF,equity,equity,Direct,5.32,,,BSE 500 TRI*,INF247L01734,145834,2.44,,,,,,,,,50,43.51,24.94,68.79,,27.08,4.34,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45331/
Navi Nifty MidSmallcap 400 Index Dir,equity,equity,Direct,,,,BSE 150 MidCap TRI*,INF959L01HR4,154027,,,,,,,,,,400,11.82,7.02,55.1,,27.53,3.78,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45654/
Navi Nifty Midcap 150 Index Dir,equity,equity,Direct,9.66,15.86,,BSE 150 MidCap TRI*,INF959L01FX6,149892,8.64,16.1,,-0.01,1,0.66,0.86,17.89,17.47,150,17.97,10.67,55.4,,25.4,3.97,4,3,4,0,2,3,13,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/42121/
Nippon India ETF Nifty Midcap 150,equity,equity,Direct,10.01,16.18,16.76,BSE 150 MidCap TRI*,INF204KB18Z7,148726,8.64,16.1,16.21,0.25,1,0.67,0.88,17.92,17.75,149,18.09,10.74,55.27,,29.4,3.78,6,3,4,0,2,,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/38950/
Nippon India Growth Mid Cap Dir,equity,equity,Direct,10.86,19.15,18.69,BSE 150 MidCap TRI*,INF204K01E54,118668,8.64,16.1,16.21,3,0.97,0.81,1.08,17.77,20.17,101,25.04,13.54,61.47,,29.53,3.97,10,3,6,2,2,5,23,Moderate Risk,Excellent,25,https://www.valueresearchonline.com/funds/16083/
Nippon India Nifty Midcap150 Dir,equity,equity,Direct,9.88,15.97,16.53,BSE 150 MidCap TRI*,INF204KB18Z7,148726,8.64,16.1,16.21,0.08,1,0.66,0.86,17.91,17.57,149,18.11,10.75,55.32,,25.31,3.95,6,3,4,0,2,3,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41295/
PGIM India Midcap Dir,equity,equity,Direct,2.13,12.15,11.37,BSE 150 MidCap TRI*,INF663L01DV3,125307,8.64,16.1,16.21,-2.39,0.86,0.48,0.62,16.19,13.48,108,22.03,12.4,55.5,,35.23,5.14,2,4,2,0,3,1,11,High Risk,Poor,25,https://www.valueresearchonline.com/funds/22367/
Quant Mid Cap Dir,equity,equity,Direct,8.52,12.05,16.11,BSE 150 MidCap TRI*,INF966L01648,120826,8.64,16.1,16.21,-2.14,0.92,0.48,0.71,18.13,14.38,28,62.66,39.82,46.7,,31.96,3.85,2,4,2,0,2,2,10,High Risk,Poor,23,https://www.valueresearchonline.com/funds/17375/
SBI Midcap Dir,equity,equity,Direct,7.77,11.64,14.18,BSE 150 MidCap TRI*,INF200K01TP4,119716,8.64,16.1,16.21,-2.81,0.85,0.46,0.57,15.85,12.94,55,27.39,14.22,58.11,,37.93,4.82,2,5,2,0,3,2,12,High Risk,Poor,25,https://www.valueresearchonline.com/funds/16235/
SBI Nifty Midcap 150 ETF,equity,equity,Direct,,,,BSE 150 MidCap TRI*,INF200KB1BU5,154526,,,,,,,,,,150,18,10.69,55.48,,29.45,3.79,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45920/
SBI Nifty Midcap 150 Index Dir,equity,equity,Direct,9.83,15.96,,BSE 150 MidCap TRI*,INF200KA10P5,150673,8.64,16.1,,0.06,1,0.66,0.86,17.93,17.56,150,18,10.69,55.53,,25.4,3.97,6,3,4,0,2,3,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/42585/
SBI Nifty Midcap 150 Momentum 50 ETF,equity,equity,Direct,,,,BSE 500 TRI*,INF200K01SH3,119707,,,,,,,,,,50,43.48,24.94,68.76,,27.08,4.34,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45872/
Samco Mid Cap Dir,equity,equity,Direct,,,,BSE 150 MidCap TRI*,INF0QA701607,152162,,,,,,,,,,30,42.84,23.8,69.45,,16.75,2.92,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45740/
Sundaram Midcap Dir,equity,equity,Direct,9.98,19.46,17.54,BSE 150 MidCap TRI*,INF903J01MJ3,119581,8.64,16.1,16.21,3.38,0.95,0.85,1.01,17.18,20.24,73,24.48,13.78,59.52,,38.38,4.56,10,4,6,2,2,4,24,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/16125/
TRUSTMF Mid Cap Dir,equity,equity,Direct,,,,BSE 150 MidCap TRI*,INF0GCD01743,152584,,,,,,,,,,69,27.48,15.58,58.86,,44.64,5.03,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45814/
Tata Mid Cap Dir,equity,equity,Direct,9.9,15.4,15.41,BSE 150 MidCap TRI*,INF277K01MK8,119202,8.64,16.1,16.21,0.58,0.9,0.69,0.86,16.29,16.9,64,27.31,14.83,55.03,,36.81,4.32,6,4,4,0,3,3,17,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/16717/
Tata Nifty Midcap 150 Index Dir,equity,equity,Direct,9.73,,,BSE 150 MidCap TRI*,INF277KA1DZ9,153581,8.64,,,,,,,,,150,18.08,10.75,55.64,,25.4,3.97,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45222/
Tata Nifty Midcap 150 Momentum 50 Index Dir,equity,equity,Direct,5.31,15.09,,BSE 500 TRI*,INF277KA1612,150738,2.44,11.32,,3.87,1.17,0.6,0.78,19.9,17.61,50,43.6,24.99,68.94,,23.45,4.25,10,0,4,0,2,,16,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/42655/
Taurus Mid Cap Dir,equity,equity,Direct,7.13,9.66,12.76,BSE 150 MidCap TRI*,INF044D01CA9,118872,8.64,16.1,16.21,-5.5,0.98,0.33,0.5,18.4,11.75,39,46.43,27.13,55.34,,23.03,3.13,0,3,2,0,2,1,7,High Risk,Poor,25,https://www.valueresearchonline.com/funds/16656/
UTI Midcap Dir,equity,equity,Direct,7.48,12.86,12.75,BSE 150 MidCap TRI*,INF0QA701607,152162,8.64,16.1,16.21,-2.51,0.95,0.5,0.64,17.36,14.4,82,23.13,12.91,56.91,,32.36,4.19,2,4,2,0,2,1,10,High Risk,Poor,25,https://www.valueresearchonline.com/funds/15920/
UTI Nifty Midcap 150 ETF,equity,equity,Direct,9.97,16.2,,BSE 150 MidCap TRI*,INF789F1APF4,148086,8.64,16.1,,,,,,,,150,17.98,10.68,55.39,,29.46,3.79,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43743/
UTI Nifty Midcap 150 Index Dir,equity,equity,Direct,9.59,,,BSE 150 MidCap TRI*,INF789F1AZO5,153089,8.64,,,,,,,,,150,18,10.69,55.48,,25.4,3.97,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44725/
UTI Nifty Midcap 150 Quality 50 Index Dir,equity,equity,Direct,0.32,8.96,,BSE 500 TRI*,INF789F1AVH8,150313,2.44,11.32,,-1.98,1.05,0.31,0.42,17.02,10.96,50,35.17,21.3,52.12,,30.23,5.83,4,3,2,0,2,,11,High Risk,Poor,25,https://www.valueresearchonline.com/funds/42253/
UTI Nifty Midsmallcap 400 Momentum Quality 100 Index Dir,equity,equity,Direct,8.16,,,BSE 500 TRI*,INF789F1AB22,153272,2.44,,,,,,,,,100,32.35,19.66,62.01,,28.39,5.25,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44913/
Union Midcap Dir,equity,equity,Direct,12.33,17.66,16.09,BSE 150 MidCap TRI*,INF582M01GI3,148073,8.64,16.1,16.21,2.09,0.92,0.76,0.91,17.14,18.67,73,24.35,14.24,59.44,,42.57,4.9,8,4,4,0,2,3,18,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/40769/
WhiteOak Capital Mid Cap Fund Dir,equity,equity,Direct,17.14,22.85,,BSE 150 MidCap TRI*,INF03VN01597,150584,8.64,16.1,,6.3,0.91,1.01,1.32,16.9,22.78,145,24.01,13.74,54.71,,31.94,4.12,12,4,8,2,3,5,29,Low Risk,Excellent,25,https://www.valueresearchonline.com/funds/42483/
Zerodha Nifty MidSmallcap400 50:50 Index Dir,equity,equity,Direct,,,,BSE 150 MidCap TRI*,INF0R8F01190,154306,,,,,,,,,,400,9.17,5.37,55.17,,27.53,3.78,,,,,,,,,,25,https://www.valueresearchonline.com/funds/45935/
Zerodha Nifty Midcap 150 ETF,equity,equity,Direct,10.75,,,BSE 150 MidCap TRI*,INF579M01AN2,151165,8.64,,,,,,,,,150,18.01,10.7,55.5,,29.45,3.79,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44359/
ABSL Multi-Cap Dir,equity,equity,Direct,11.61,15.19,13.63,VR Multicap TRI*,INF209KB1Y49,148921,-2.34,10.48,11.24,4.78,0.93,0.66,0.82,16.02,16.2,86,23.26,13.36,53.81,,30.72,4.02,10,4,4,0,3,2,21,Moderate Risk,Poor,25,https://www.valueresearchonline.com/funds/41466/
Axis Multicap Dir,equity,equity,Direct,12.9,20.36,,VR Multicap TRI*,INF846K013E0,149383,-2.34,10.48,,9.39,0.91,0.94,1.14,15.87,20.67,109,23.51,14.63,61.14,,32.76,4.28,12,4,6,2,3,5,27,Low Risk,Excellent,25,https://www.valueresearchonline.com/funds/41885/
Bajaj Finserv Multi Cap Dir,equity,equity,Direct,13.25,,,VR Multicap TRI*,INF0QA701AV7,153309,-2.34,,,,,,,,,75,30.03,17.86,56.02,,30.11,3.49,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44918/
Bandhan Multi Cap Dir,equity,equity,Direct,4.51,13.34,,VR Multicap TRI*,INF194KB1CL0,149303,-2.34,10.48,,3.12,0.93,0.57,0.75,15.54,14.51,107,28.81,19.49,53.27,,24.86,3.02,10,4,2,0,3,3,19,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/41822/
Bank of India Multi Cap Dir,equity,equity,Direct,15.66,18.19,,VR Multicap TRI*,INF761K01FR0,151443,-2.34,10.48,,7.51,0.96,0.82,1.18,16.31,19.07,61,33.4,19.93,55.1,,25.75,3.72,12,3,6,2,3,4,26,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/43162/
Baroda BNP Paribas Multi Cap Dir,equity,equity,Direct,5.34,15.29,13.7,VR Multicap TRI*,INF955L01AG0,119354,-2.34,10.48,11.24,5.04,0.91,0.68,0.81,15.7,16.31,79,24.08,12.69,58.25,,32.36,3.9,12,4,4,0,3,3,23,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/15707/
Canara Robeco Multi Cap Dir,equity,equity,Direct,5.15,15.27,,VR Multicap TRI*,INF760K01KO9,151824,-2.34,10.48,,4.97,0.9,0.68,0.92,15.33,16.17,108,24.25,15.03,62.7,,30.72,4.4,10,4,4,0,3,3,21,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/43571/
DSP Multicap Dir,equity,equity,Direct,3.26,,,VR Multicap TRI*,INF740KA1UC1,152310,-2.34,,,,,,,,,59,36.27,22.38,60.83,,27.08,3.51,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43999/
Edelweiss Multi Cap Dir,equity,equity,Direct,9.98,,,VR Multicap TRI*,INF754K01SD8,152094,-2.34,,,,,,,,,104,25.11,15.35,59.17,,27.56,3.85,,,,,,,,,,25,https://www.valueresearchonline.com/funds/43782/
Edelweiss Nifty500 Multicap Momentum Quality 50 ETF,equity,equity,Direct,1.69,,,BSE 500 TRI*,INF754K01TN5,152985,2.44,,,,,,,,,50,47.19,25.35,78.75,,29.04,6.66,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44626/
Edelweiss Nifty500 Multicap Momentum Quality 50 Index Dir,equity,equity,Direct,1.71,,,BSE 500 TRI*,INF754K01TN5,152985,2.44,,,,,,,,,50,47.2,25.36,78.76,,26.91,6.49,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44648/
Franklin India Multi Cap Dir,equity,equity,Direct,9.69,,,VR Multicap TRI*,INF090I01XA7,152739,-2.34,,,,,,,,,53,33.68,19.38,64.07,,26.55,3.63,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44410/
Groww Multicap Dir,equity,equity,Direct,20.88,,,VR Multicap TRI*,INF666M01JD9,153034,-2.34,,,,,,,,,78,26.72,14.56,62.12,,30.06,4.36,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44697/
HDFC Multi Cap Dir,equity,equity,Direct,1.34,12.27,,VR Multicap TRI*,INF179KC1BS5,149368,-2.34,10.48,,1.98,0.96,0.49,0.65,16.08,13.56,121,23.52,14.43,58.66,,26.22,3.59,8,3,2,0,3,2,16,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/41864/
HDFC Nifty500 Multicap 50:25:25 Index Dir,equity,equity,Direct,4.61,,,VR Multicap TRI*,INF179K01XD8,118987,-2.34,,,,,,,,,500,21.54,15.02,53.5,,22.57,3.4,,,,,,,,,,25,https://www.valueresearchonline.com/funds/44463/
HSBC Multi Cap Dir,equity,equity,Direct,11.13,19.07,,VR Multicap TRI*,INF336L01QN5,151290,-2.34,10.48,,8.01,1.01,0.82,1.09,17.46,19.92,101,21.72,12.57,55.82,,29.7,4.21,12,3,6,2,2,5,25,Moderate Risk,Excellent,25,https://www.valueresearchonline.com/funds/43023/
ICICI Pru Multicap Dir,equity,equity,Direct,11.14,16.89,15.66,VR Multicap TRI*,INF109K014O9,120599,-2.34,10.48,11.24,6.52,0.92,0.78,1.08,15.69,17.86,164,23.73,13.38,65.69,,28.53,3.83,12,4,4,2,3,4,25,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/15874/
ITI Multi Cap Dir,equity,equity,Direct,15.01,17.79,14.85,VR Multicap TRI*,INF00XX01168,147183,-2.34,10.48,11.24,6.94,1.02,0.76,0.96,17.43,18.86,77,26.64,16.68,57.63,,30.93,4.36,12,3,4,0,2,3,21,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/39831/
Invesco India Multicap Dir,equity,equity,Direct,4.61,14.54,12.63,VR Multicap TRI*,INF205K01MS2,120413,-2.34,10.48,11.24,3.95,1,0.58,0.71,17.3,15.74,68,28.22,16.07,59.82,,41.66,4.89,10,3,2,0,2,2,17,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/16811/
