Fund Name,Category,Subcategory,Plan,1Y Return (%),3Y Return (%),5Y Return (%),Benchmark Name,ISIN,Scheme Code,Benchmark 1Y (%),Benchmark 3Y (%),Benchmark 5Y (%),Alpha,Beta,Sharpe Ratio,Sortino Ratio,Std Dev,Mean Return (%),No. of Stocks,Top 10 Stocks (%),Top 5 Stocks (%),Top 3 Sectors (%),No. of Securities,Portfolio P/E,Portfolio P/B,Alpha Score (/12),Beta Score (/6),Sharpe Score (/12),Sortino Score (/4),Std Dev Score (/6),VR Stars,Score (/40),Risk Category,Fund Rating,Top Holdings Count,Fund URL
ICICI Pru Long Term Wealth Enhancement Dir,equity,equity,Direct,-0.66,13.82,14.13,BSE 500 TRI*,INF767K01GI4,120338,2.44,11.32,10.45,3.73,0.88,0.69,0.92,14.28,15.48,25,63.66,39.08,75.04,,29.38,4.33,10,4,4,0,3,,21,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/34952/
ITI ELSS Tax Saver Dir,equity,equity,Direct,9.2,18.01,13.85,BSE 500 TRI*,INF00XX01390,147541,2.44,11.32,10.45,4.75,1.23,0.66,0.96,20,18.95,66,26.53,15.23,66.23,,23.29,3.07,10,0,4,0,2,3,16,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/40137/
Invesco India ELSS Tax Saver Dir,equity,equity,Direct,2.71,13.5,10.82,BSE 500 TRI*,INF205K01NT8,120416,2.44,11.32,10.45,2.03,1.03,0.56,0.7,16.5,14.87,73,25.89,15.58,59.74,,34.18,4.42,8,3,2,0,3,2,16,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/16849/
JM ELSS Tax Saver Dir,equity,equity,Direct,10.13,16.93,14.81,BSE 500 TRI*,INF192K01CE3,120494,2.44,11.32,10.45,4.59,1.05,0.7,0.96,16.87,17.52,54,27.07,14.56,60.64,,29.83,3.42,10,3,4,0,3,4,20,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/16552/
Kotak ELSS Tax Saver Dir,equity,equity,Direct,4.01,11.81,12.17,BSE 500 TRI*,INF955L01JF3,154679,2.44,11.32,10.45,0.87,0.96,0.49,0.59,15.24,13.22,52,37.89,24.29,57.63,,24.35,3.21,6,3,2,0,3,3,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/16380/
LIC MF ELSS Tax Saver Dir,equity,equity,Direct,-1.26,10.48,9.97,BSE 500 TRI*,INF767K01EM1,120270,2.44,11.32,10.45,-0.62,0.94,0.39,0.5,14.98,11.57,54,39.78,26.21,63.27,,28.53,4.05,4,4,2,0,3,2,13,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/16868/
Mahindra Manulife ELSS Tax Saver Dir,equity,equity,Direct,-2.3,8.94,9.94,BSE 500 TRI*,INF174V01093,139781,2.44,11.32,10.45,-1.47,0.91,0.34,0.45,14.02,10.48,55,40.68,28.11,63.12,,23.52,3.71,4,4,2,0,3,2,13,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/32895/
Mirae Asset ELSS Tax Saver Dir,equity,equity,Direct,5.11,13.07,11.48,BSE 500 TRI*,INF769K01DM9,135781,2.44,11.32,10.45,1.71,1,0.56,0.69,15.4,14.33,66,41.09,27.31,60.6,,21.49,3.06,8,3,2,0,3,3,16,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/31318/
Motilal Oswal ELSS Tax Saver Dir,equity,equity,Direct,14.78,22.84,17.44,BSE 500 TRI*,INF247L01569,133386,2.44,11.32,10.45,9.96,1.16,0.83,1.12,21.64,23.65,30,42.37,22.28,60.43,,40.9,6.32,12,0,6,2,2,5,22,Moderate Risk,Excellent,25,https://www.valueresearchonline.com/funds/29162/
NJ ELSS Tax Saver Dir,equity,equity,Direct,-1.65,10.63,,BSE 500 TRI*,INF192K01CE3,120494,2.44,11.32,,-0.2,0.97,0.41,0.58,16,12.22,25,50.21,26.54,57.88,,22.95,5.26,4,3,2,0,3,2,12,High Risk,Poor,25,https://www.valueresearchonline.com/funds/43365/
Navi ELSS Tax Saver Dir,equity,equity,Direct,,,,,INF959L01CD5,151471,,,,,,,,,,,,,,,,,,,,,,,,,,0,https://www.valueresearchonline.com/funds/31265/
Navi ELSS Tax Saver Nifty 50 Index Dir,equity,equity,Direct,-2.56,7.92,,BSE 500 TRI*,INF959L01GR6,151471,2.44,11.32,,-2.42,0.87,0.26,0.34,13.59,9.27,50,52.83,36.86,63.19,,20.66,3.16,2,4,2,0,4,1,12,High Risk,Poor,25,https://www.valueresearchonline.com/funds/43191/
Nippon India ELSS Tax Saver Dir,equity,equity,Direct,3.26,12.71,12.16,BSE 500 TRI*,INF204K01L55,118803,2.44,11.32,10.45,1.52,0.97,0.55,0.77,14.98,13.9,64,39.39,24.62,59.8,,20.88,3.04,8,3,2,0,3,4,16,Moderately High Risk,Good,25,https://www.valueresearchonline.com/funds/16186/
PGIM India ELSS Tax Saver Dir,equity,equity,Direct,2.19,10.01,10.8,BSE 500 TRI*,INF663L01FN5,135601,2.44,11.32,10.45,-0.92,0.93,0.37,0.5,14.83,11.2,89,37.66,25.03,54.47,,27.78,4.05,4,4,2,0,3,2,13,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/31167/
Parag Parikh ELSS Tax Saver Dir,equity,equity,Direct,-7.28,9.72,11.76,BSE 500 TRI*,INF879O01100,147481,2.44,11.32,10.45,0.16,0.71,0.44,0.62,11.47,10.78,41,55.66,32.77,57.29,,17.72,2.16,6,6,2,0,5,4,19,Moderately High Risk,Good,25,https://www.valueresearchonline.com/funds/40105/
Quant ELSS Tax Saver Dir,equity,equity,Direct,16.35,15.34,15.89,BSE 500 TRI*,INF966L01986,120847,2.44,11.32,10.45,3.65,1.11,0.62,1.03,18.22,16.99,31,63.67,42.57,57.1,,30.75,4.22,10,2,4,2,2,4,20,Moderate Risk,Good,25,https://www.valueresearchonline.com/funds/17381/
Quantum ELSS Tax Saver Dir,equity,equity,Direct,-3.89,10.6,10.16,BSE 500 TRI*,INF082J01069,111549,2.44,11.32,10.45,0.42,0.85,0.47,0.61,13.39,11.96,32,41.4,24.4,70.7,,19.82,2.57,6,5,2,0,4,3,17,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/10080/
SBI ELSS Tax Saver Dir,equity,equity,Direct,-0.14,14.82,15.23,BSE 500 TRI*,INF917K01GP0,151078,2.44,11.32,10.45,3.37,0.97,0.66,0.87,15.31,15.78,81,41.58,29.02,60.2,,23.71,3,10,3,4,0,3,5,20,Moderate Risk,Excellent,25,https://www.valueresearchonline.com/funds/16244/
SBI Long Term Advantage Sr IV Dir,equity,equity,Direct,1.78,9.51,11.31,BSE 500 TRI*,INF200KA1LS9,140487,2.44,11.32,10.45,-0.93,0.9,0.34,0.46,15.63,10.98,29,48.34,28.89,73.89,,23.25,3.38,4,4,2,0,3,,13,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/33323/
SBI Long Term Advantage Sr V Dir,equity,equity,Direct,4.08,21.11,15.96,BSE 500 TRI*,INF200KA1RW8,142138,2.44,11.32,10.45,8.97,0.98,0.97,1.26,16.15,21.41,29,47.33,27.56,73.47,,25.27,3.23,12,3,6,2,3,,26,Moderate Risk,Average,25,https://www.valueresearchonline.com/funds/34960/
SBI Long Term Advantage Sr VI Dir,equity,equity,Direct,1.85,10.48,12.85,BSE 500 TRI*,INF200KA1TO1,143178,2.44,11.32,10.45,-0.94,1.07,0.38,0.45,17.2,12.16,34,41.87,22.76,73.69,,25.45,2.85,4,2,2,0,2,,10,High Risk,Poor,25,https://www.valueresearchonline.com/funds/35971/
Samco ELSS Tax Saver Dir,equity,equity,Direct,1.61,5.26,,BSE 500 TRI*,INF0K1H01065,150838,2.44,11.32,,-5.36,1.09,0.11,0.13,19.56,7.83,34,36.77,19.94,66.02,,26.2,4.22,0,2,2,0,2,1,6,High Risk,Poor,25,https://www.valueresearchonline.com/funds/42760/
Shriram ELSS Tax Saver Dir,equity,equity,Direct,1.41,8.17,7.7,BSE 500 TRI*,INF680P01158,145819,2.44,11.32,10.45,-2.56,1.01,0.26,0.31,16.79,10.1,70,38.26,25.23,57.52,,20.84,3.22,2,3,2,0,3,1,10,High Risk,Poor,25,https://www.valueresearchonline.com/funds/38439/
Sundaram ELSS Tax Saver Dir,equity,equity,Direct,-2.24,9.29,9.88,BSE 500 TRI*,INF173K01HZ7,149570,2.44,11.32,10.45,-1.51,0.91,0.34,0.42,14.14,10.46,56,41.64,25.31,65.19,,22.75,3.1,4,4,2,0,3,2,13,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/16650/
Sundaram Long Term Micro Cap Tax Advantage III Dir,equity,equity,Direct,10.09,12.19,16.23,BSE 500 TRI*,INF903JA1443,139711,2.44,11.32,10.45,0.59,1.1,0.42,0.67,19.28,13.88,38,44.62,25.7,62.11,,28.43,3.46,6,2,2,0,2,,12,High Risk,Poor,25,https://www.valueresearchonline.com/funds/32783/
Sundaram Long Term Micro Cap Tax Advantage IV Dir,equity,equity,Direct,9.9,12.2,16.36,BSE 500 TRI*,INF903JA1955,141141,2.44,11.32,10.45,0.6,1.09,0.43,0.68,19.03,13.8,38,45.09,26.64,62.48,,28.01,3.42,6,2,2,0,2,,12,High Risk,Poor,25,https://www.valueresearchonline.com/funds/33066/
Sundaram Long Term Micro Cap Tax Advantage V Dir,equity,equity,Direct,10.79,12.88,16.04,BSE 500 TRI*,INF903JA1955,141141,2.44,11.32,10.45,1.22,1.1,0.46,0.73,19.1,14.49,39,42.91,25.96,62.77,,27.21,3.33,6,2,2,0,2,,12,High Risk,Poor,25,https://www.valueresearchonline.com/funds/34226/
Sundaram Long Term Micro Cap Tax Advantage VI Dir,equity,equity,Direct,9.81,12.45,16.31,BSE 500 TRI*,INF903JA1AZ0,141564,2.44,11.32,10.45,0.8,1.09,0.44,0.71,19.03,14.01,38,44.11,26.14,63.94,,27.73,3.34,6,2,2,0,2,,12,High Risk,Poor,25,https://www.valueresearchonline.com/funds/34431/
Sundaram Long Term Tax Advantage III Dir,equity,equity,Direct,12.34,13.23,17.74,BSE 500 TRI*,INF903J011W9,135682,2.44,11.32,10.45,1.74,1.07,0.49,0.78,18.45,14.79,39,45.79,27.57,60.28,,27.47,3.35,8,2,2,0,2,,14,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/35008/
Sundaram Long Term Tax Advantage IV Dir,equity,equity,Direct,11.98,13.38,17.9,BSE 500 TRI*,INF903JA1CZ6,143079,2.44,11.32,10.45,2.05,1.05,0.51,0.8,18.22,15.03,39,46.01,27.21,61.44,,28.81,3.45,8,3,2,0,2,,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/35873/
Tata ELSS Dir,equity,equity,Direct,10.37,13.51,13.03,BSE 500 TRI*,INF277K01I86,132756,2.44,11.32,10.45,2.18,0.99,0.58,0.75,15.51,14.73,63,38.74,24.5,61.66,,24.47,3.41,8,3,2,0,3,3,16,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/16739/
Taurus ELSS Tax Saver Dir,equity,equity,Direct,0.04,11,11.03,BSE 500 TRI*,INF044D01CG6,118866,2.44,11.32,10.45,0.16,0.9,0.44,0.67,14.55,12.05,31,59.59,35.58,62.85,,19.98,3.08,6,4,2,0,3,2,15,Moderately High Risk,Poor,25,https://www.valueresearchonline.com/funds/16713/
UTI ELSS Tax Saver Dir,equity,equity,Direct,-0.35,9.16,7.99,BSE 500 TRI*,INF789F01TF7,120715,2.44,11.32,10.45,-1.62,0.96,0.34,0.44,14.93,10.72,59,40.3,26.81,63.22,,23.99,3.24,4,3,2,0,3,1,12,High Risk,Poor,25,https://www.valueresearchonline.com/funds/15723/
Union ELSS Tax Saver Dir,equity,equity,Direct,2.62,11.38,10.88,BSE 500 TRI*,INF582M01765,119307,2.44,11.32,10.45,0.53,0.92,0.48,0.58,14.45,12.61,77,31.87,21.08,61.72,,30.91,3.89,6,4,2,0,3,3,15,Moderately High Risk,Average,25,https://www.valueresearchonline.com/funds/16436/
WhiteOak Capital ELSS Tax Saver Dir,equity,equity,Direct,6.63,17.25,,BSE 500 TRI*,INF03VN01621,150587,2.44,11.32,,5.55,0.94,0.81,1.08,14.9,17.71,139,36.11,24.52,58.58,,26.25,3.62,12,4,6,2,3,5,27,Low Risk,Excellent,25,https://www.valueresearchonline.com/funds/42487/
