Fund Name,Plan,Category,VR ID,Scheme Code,ISIN,Alpha,Beta,Sharpe,Standard Deviation,Mean Return,Sortino,No. of Stocks,Top 10 Stocks (%),Top 5 Stocks (%),Top 3 Sectors (%),P/B Ratio,P/E Ratio,Alpha Score (/12),Sharpee Score(/12),Std Dev Score(/6),Beta Score(/6),Sortino Score(/4),Total Score(/40),Risk Category,Yield to Maturity (%),Macaulay Duration (yrs),Average Maturity (yrs),Avg Credit Rating,Fund 1Y,Fund 3Y,Fund 5Y,Bench 1Y,Bench 3Y,Bench 5Y
Mirae Asset Multi Factor Passive FoF Reg,Regular,Equity: Thematic (Broad),45434,153818,INF769K01PE0,--,--,--,--,--,--,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,16.26,N/A,N/A,10.42,N/A,N/A
Mirae Asset Nifty India Internet ETF,Regular,Equity: Thematic (Broad),45250,153642,INF769K01PB6,--,--,--,--,--,--,27,85.54%,63.69%,82.72%,4.19,65.04,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,9.31,19.15,N/A,10.42,15.47,N/A
Mirae Asset Nifty Metal ETF,Regular,Equity: Thematic (Broad),44588,152924,INF769K01LY7,--,--,--,--,--,--,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,4.44,21.76,15.35,10.42,15.47,13.24
Mirae Asset Nifty Metal ETF FoF Reg,Regular,Equity: Thematic (Broad),45831,154216,INF769K01QM1,--,--,--,--,--,--,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,3.21,18.01,16.06,10.42,15.47,13.24
Motilal Oswal Active Momentum Reg,Regular,Equity: Thematic (Broad),45000,153365,INF247L01ES9,--,--,--,--,--,--,26,44.88%,24.67%,65.83%,5.29,34.23,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,5.83,16.1,13.07,10.42,15.47,13.24
Motilal Oswal BSE Select IPO ETF,Regular,Equity: Thematic (Broad),45639,154003,INF247L01GI5,--,--,--,--,--,--,73,40.09%,24.46%,61.46%,3.85,39.25,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,13.49,16.03,12.82,10.42,15.47,13.24
Motilal Oswal Multi Factor Passive FoF Reg,Regular,Equity: Thematic (Broad),45873,154238,INF247L01GU0,--,--,--,--,--,--,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,17.96,16.88,13.47,10.42,15.47,13.24
Motilal Oswal Nifty Capital Market ETF,Regular,Equity: Thematic (Broad),45051,153406,INF247L01EV3,--,--,--,--,--,--,17,83.41%,63.49%,99.99%,7.93,37.02,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,14.41,23.52,N/A,10.42,15.47,N/A
Motilal Oswal Nifty Capital Market Index Reg,Regular,Equity: Thematic (Broad),44754,153137,INF247L01EC3,--,--,--,--,--,--,17,83.35%,63.44%,99.92%,7.8,34.17,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Motilal Oswal Nifty India Defence ETF,Regular,Equity: Thematic (Broad),44517,152846,INF247L01DJ0,--,--,--,--,--,--,19,89.08%,73.05%,94.88%,8.84,48.34,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Motilal Oswal Nifty India Defence Index Reg,Regular,Equity: Thematic (Broad),44396,152711,INF247L01CV7,--,--,--,--,--,--,19,89.16%,73.11%,94.97%,9.24,42.73,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,5.83,10.41,7.92,10.42,15.47,13.24
Motilal Oswal Nifty India Tourism ETF,Regular,Equity: Thematic (Broad),45240,153618,INF247L01FP2,--,--,--,--,--,--,15,91.49%,73.23%,99.85%,6.55,41.72,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,12.1,12.78,10.96,10.42,15.47,13.24
Motilal Oswal Nifty MidSmall IT and Telecom Index Reg,Regular,Equity: Thematic (Broad),44681,153028,INF247L01DZ6,--,--,--,--,--,--,20,78.72%,58.55%,99.85%,15.73,643.13,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,3.79,8.96,9.51,10.42,15.47,13.24
Motilal Oswal Nifty Realty ETF,Regular,Equity: Thematic (Broad),44250,152541,INF247L01CI4,--,--,--,--,--,--,10,100.03%,73.67%,100.03%,3.12,31.13,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,6.88,14.09,N/A,10.42,15.47,N/A
Motilal Oswal Nifty Services Sector ETF,Regular,Equity: Thematic (Broad),45660,154033,INF247L01GJ3,--,--,--,--,--,--,30,72.95%,53.52%,93.77%,2.76,19.38,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,9.46,17.83,16.26,10.42,15.47,13.24
Motilal Oswal Services Reg,Regular,Equity: Thematic (Broad),45184,153561,INF247L01FG1,--,--,--,--,--,--,37,50.54%,31.30%,70.68%,4.02,28.19,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,15.32,15.64,N/A,10.42,15.47,N/A
Motilal Oswal Special Opportunities Reg,Regular,Equity: Thematic (Broad),45391,153751,INF247L01FV0,--,--,--,--,--,--,27,49.70%,27.90%,69.87%,5.09,34.08,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,2.43,8.31,7.53,10.42,15.47,13.24
Nippon India Active Momentum Reg,Regular,Equity: Thematic (Broad),44936,153276,INF204KC1EH1,--,--,--,--,--,--,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,9.66,N/A,N/A,10.42,N/A,N/A
Nippon India Nifty Realty Index Reg,Regular,Equity: Thematic (Broad),44710,153061,INF204KC1DV4,--,--,--,--,--,--,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Quant Commodities Reg,Regular,Equity: Thematic (Broad),43964,152256,INF966L01DC0,--,--,--,--,--,--,16,83.26%,48.57%,96.26%,2.9,26.91,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Quant Momentum Reg,Regular,Equity: Thematic (Broad),43880,152190,INF966L01CW0,--,--,--,--,--,--,28,62.05%,42.44%,67.89%,2.71,25.76,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,3.91,20.56,11.61,10.42,15.47,13.24
Quantum Ethical Reg,Regular,Equity: Thematic (Broad),44770,153095,INF082J01481,--,--,--,--,--,--,46,31.55%,17.89%,63.91%,5,32.02,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,18.93,10.28,7.31,10.42,15.47,13.24
Samco Active Momentum Reg,Regular,Equity: Thematic (Broad),43514,151752,INF0K1H01073,--,--,--,--,--,--,57,27.08%,18.47%,38.59%,3.01,23.76,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,10.64,N/A,N/A,10.42,N/A,N/A
Samco Special Opportunities Reg,Regular,Equity: Thematic (Broad),44279,152587,INF0K1H01172,--,--,--,--,--,--,37,35.79%,21.50%,80.58%,2.42,19.47,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,9.87,14.71,12.21,10.42,15.47,13.24
SBI Comma Reg,Regular,Equity: Thematic (Broad),2812,103145,INF200K01339,5.55,0.95,0.79,15.78,18.44,1.18,32,48.39%,30.65%,89.27%,1.83,15.74,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,15.02,N/A,N/A,10.42,N/A,N/A
SBI Equity Minimum Variance Reg,Regular,Equity: Thematic (Broad),39362,146644,INF200KA1A48,-1.78,0.9,0.33,14.12,10.71,0.42,50,53.92%,37.00%,64.40%,3.98,21.23,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,14.48,N/A,N/A,10.42,N/A,N/A
SBI Quality Reg,Regular,Equity: Thematic (Broad),45791,154175,INF200KB1AD3,--,--,--,--,--,--,42,N/A,N/A,N/A,N/A,28.75,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shriram Multi Sector Rotation Reg,Regular,Equity: Thematic (Broad),44668,153077,INF680P01463,--,--,--,--,--,--,36,46.45%,28.83%,69.65%,2.73,15.56,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,3.69,N/A,N/A,10.42,N/A,N/A
Sundaram Multi-Factor Reg,Regular,Equity: Thematic (Broad),45283,153667,INF903JA1LY0,--,--,--,--,--,--,60,35.64%,22.36%,69.39%,2.12,14.38,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,14.85,13.34,11.84,10.42,15.47,13.24
Sundaram Services Reg,Regular,Equity: Thematic (Broad),37575,144838,INF903JA1EX7,1.07,0.91,0.54,14.25,13.68,0.73,53,42.47%,27.85%,73.14%,2.82,24.05,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,9.21,14.68,12.35,10.42,15.47,13.24
Tata BSE Select Business Groups Index Reg,Regular,Equity: Thematic (Broad),44790,153134,INF277KA1CX6,--,--,--,--,--,--,30,73.83%,55.32%,69.91%,3.39,21.6,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,8.39,14.75,N/A,10.42,15.47,N/A
Tata Ethical Reg,Regular,Equity: Thematic (Broad),213,100415,INF277K01956,-4.85,0.91,0.12,14.27,7.76,0.15,62,36.67%,23.42%,56.48%,3.76,24.84,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,9.74,14.26,12.67,10.42,15.47,13.24
Tata Housing Opportunities Reg,Regular,Equity: Thematic (Broad),42445,150537,INF277KA1521,-4.21,1.13,0.22,17.71,9.97,0.27,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tata Nifty Capital Markets Index Fund Reg,Regular,Equity: Thematic (Broad),44636,152954,INF277KA1CL1,--,--,--,--,--,--,17,83.33%,63.42%,99.89%,7.8,34.17,12,8,3,4,2,29,Low Risk,N/A,N/A,N/A,N/A,14.64,N/A,N/A,10.42,N/A,N/A
Tata Nifty India Tourism Index Reg,Regular,Equity: Thematic (Broad),44424,152746,INF277KA1BZ3,--,--,--,--,--,--,N/A,N/A,N/A,N/A,N/A,N/A,4,2,3,4,1,14,Moderately High Risk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tata Nifty Realty Index Reg,Regular,Equity: Thematic (Broad),44259,152573,INF277KA1AL5,--,--,--,--,--,--,10,100.05%,73.68%,100.05%,3.07,30.11,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,9.11,16.63,13.57,10.42,15.47,13.24
Taurus Ethical Reg,Regular,Equity: Thematic (Broad),10244,111787,INF044D01864,0.25,0.95,0.47,15.06,13.14,0.6,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
The Wealth Company Ethical Reg,Regular,Equity: Thematic (Broad),45523,153897,INF2F0001248,--,--,--,--,--,--,39,36.21%,20.65%,54.85%,4.61,25.53,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,14.81,N/A,N/A,10.42,N/A,N/A
Union Active Momentum Reg,Regular,Equity: Thematic (Broad),44782,153111,INF582M01KC8,--,--,--,--,--,--,35,31.03%,16.39%,73.89%,2.64,18.47,6,6,3,4,1,20,Moderate Risk,N/A,N/A,N/A,N/A,8.57,11.99,10.42,10.42,15.47,13.24
UTI BSE Housing Index Reg,Regular,Equity: Thematic (Broad),43520,151763,INF789F1AYS9,--,--,--,--,--,--,25,50.38%,26.07%,85.80%,3.51,33.56,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,7.5,17.79,15.77,10.42,15.47,13.24
WhiteOak Capital Quality Equity Reg,Regular,Equity: Thematic (Broad),44852,153190,INF03VN01985,--,--,--,--,--,--,66,38.57%,24.72%,54.30%,5.22,33.8,2,2,3,4,1,12,High Risk,N/A,N/A,N/A,N/A,10.92,17.44,17.93,10.42,15.47,13.24
WhiteOak Capital Special Opportunities Reg,Regular,Equity: Thematic (Broad),44332,152643,INF03VN01894,--,--,--,--,--,--,81,35.27%,21.87%,58.20%,3.54,26.56,2,2,2,2,1,9,High Risk,N/A,N/A,N/A,N/A,9.19,15.44,12.37,10.42,15.47,13.24
ABSL Consumption Reg,Regular,Equity: Thematic (Infra),2787,103111,INF209K01447,-3.05,0.8,0.35,15.11,11.34,0.42,78,35.81%,21.52%,73.20%,5.06,33.31,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,7.47,12.1,10.66,10.42,15.47,13.24
Axis Consumption Reg,Regular,Equity: Thematic (Infra),44464,152804,INF846K010X6,--,--,--,--,--,--,62,50.04%,33.99%,76.19%,7.25,39.26,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,15.94,18.18,13.96,10.42,15.47,13.24
Axis NIFTY India Consumption ETF,Regular,Equity: Thematic (Infra),41685,149156,INF846K016C7,-0.63,0.82,0.5,15.85,14.02,0.59,30,60.48%,39.92%,83.31%,6.65,31.86,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,9.91,N/A,N/A,10.42,N/A,N/A
Bajaj Finserv Consumption Reg,Regular,Equity: Thematic (Infra),44687,153072,INF0QA701979,--,--,--,--,--,--,53,43.33%,27.04%,81.17%,5.45,40.56,6,4,3,4,1,18,Moderately High Risk,N/A,N/A,N/A,N/A,8.27,11.33,13.19,10.42,15.47,13.24
Bank of India Consumption Reg,Regular,Equity: Thematic (Infra),44806,153140,INF761K01GL1,--,--,--,--,--,--,36,51.56%,33.71%,73.79%,5.89,28.59,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,5.76,1.09,N/A,10.42,15.47,N/A
Baroda BNP Paribas India Consumption Reg,Regular,Equity: Thematic (Infra),37337,150268,INF251K01PQ3,-2.41,0.81,0.4,15.26,12.08,0.44,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,5.11,9.79,8.66,10.42,15.47,13.24
Canara Robeco Consumer Trends Reg,Regular,Equity: Thematic (Infra),10590,112152,INF760K01241,-2.87,0.81,0.37,15.3,11.62,0.44,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,8.48,13.45,N/A,10.42,15.47,N/A
Edelweiss Consumption Reg,Regular,Equity: Thematic (Infra),44880,153255,INF754K01UC6,--,--,--,--,--,--,51,44.05%,28.24%,75.06%,6.94,37.82,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,7.21,12.87,11.17,10.42,15.47,13.24
Groww Nifty Non-Cyclical Consumer Index Reg,Regular,Equity: Thematic (Infra),44323,152633,INF666M01IB5,--,--,--,--,--,--,30,66.33%,45.79%,88.84%,9.21,39.59,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,9.16,N/A,N/A,10.42,N/A,N/A
HDFC Consumption Reg,Regular,Equity: Thematic (Infra),43557,151803,INF179KC1GR6,--,--,--,--,--,--,48,54.88%,35.34%,85.16%,7.22,43.32,2,4,3,5,1,15,Moderately High Risk,N/A,N/A,N/A,N/A,-0.26,9.88,9.78,10.42,15.47,13.24
HDFC Nifty India Consumption Index Reg,Regular,Equity: Thematic (Infra),45799,154180,INF179KC1JZ3,--,--,--,--,--,--,30,60.56%,40.00%,83.37%,7.14,33.57,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,7.13,15.62,11.47,10.42,15.47,13.24
HSBC Consumption Reg,Regular,Equity: Thematic (Infra),43708,152027,INF336L01RC6,--,--,--,--,--,--,N/A,N/A,N/A,N/A,N/A,N/A,4,6,3,5,1,19,Moderately High Risk,N/A,N/A,N/A,N/A,9.14,14.11,12.47,10.42,15.47,13.24
ICICI Pru Bharat Consumption,Regular,Equity: Thematic (Infra),39670,146950,INF109KC1YA0,-1.88,0.76,0.42,14.48,12.05,0.48,60,49.10%,31.04%,77.60%,6.22,37.12,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,8.43,14.94,10.77,10.42,15.47,13.24
ICICI Pru Nifty India Consumption ETF,Regular,Equity: Thematic (Infra),41802,149285,INF109KC1V42,-0.45,0.83,0.52,15.88,14.21,0.6,30,60.57%,40.01%,83.39%,6.64,31.81,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,6.64,13.51,10.73,10.42,15.47,13.24
Invesco India Consumption Reg,Regular,Equity: Thematic (Infra),45527,153902,INF205KA1BF2,--,--,--,--,--,--,N/A,N/A,N/A,N/A,N/A,N/A,2,4,3,5,1,15,Moderately High Risk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ITI Bharat Consumption Reg,Regular,Equity: Thematic (Infra),44920,153263,INF00XX01DD8,--,--,--,--,--,--,N/A,N/A,N/A,N/A,N/A,N/A,2,4,3,5,1,15,Moderately High Risk,N/A,N/A,N/A,N/A,4.89,11.92,9.67,10.42,15.47,13.24
Kotak Consumption Reg,Regular,Equity: Thematic (Infra),43858,152170,INF174KA1PM5,--,--,--,--,--,--,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,0.85,9.26,6.09,10.42,15.47,13.24
Kotak NIFTY India Consumption ETF,Regular,Equity: Thematic (Infra),42398,150492,INF174KA1ZF8,-0.37,0.83,0.52,15.87,14.29,0.61,30,60.56%,40.00%,83.36%,6.64,31.81,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,6.39,13.98,N/A,10.42,15.47,N/A
LIC MF Consumption Reg,Regular,Equity: Thematic (Infra),45566,153950,INF767K01SA6,--,--,--,--,--,--,55,25.09%,14.10%,66.61%,5.48,24.62,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mahindra Manulife Consumption Reg,Regular,Equity: Thematic (Infra),37845,145355,INF174V01630,-3.04,0.82,0.36,15.3,11.6,0.41,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mirae Asset Great Consumer Reg,Regular,Equity: Thematic (Infra),12342,114931,INF769K01135,-2.69,0.88,0.4,16.53,12.57,0.47,38,54.60%,34.28%,89.46%,6.82,40.29,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,12.13,N/A,N/A,10.42,N/A,N/A
Mirae Asset Nifty India New Age Consumption ETF,Regular,Equity: Thematic (Infra),44832,153191,INF769K01NS5,--,--,--,--,--,--,75,42.51%,25.35%,77.92%,5.21,24.14,4,4,3,5,1,17,Moderately High Risk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mirae Asset Nifty India New Age Consumption ETF FoF Reg,Regular,Equity: Thematic (Infra),44833,153192,INF769K01NP1,--,--,--,--,--,--,N/A,N/A,N/A,N/A,N/A,N/A,4,6,3,5,1,19,Moderately High Risk,N/A,N/A,N/A,N/A,9.53,14.54,12.57,10.42,15.47,13.24
Motilal Oswal Consumption Reg,Regular,Equity: Thematic (Infra),45541,153916,INF247L01GD6,--,--,--,--,--,--,28,53.49%,31.68%,71.17%,6.49,42.12,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,12.97,12.97,11.07,10.42,15.47,13.24
Motilal Oswal Nifty MidSmall India Consumption Index Reg,Regular,Equity: Thematic (Infra),44679,153024,INF247L01DV5,--,--,--,--,--,--,30,49.15%,28.78%,64.97%,7.99,168.18,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,14.78,17.17,N/A,10.42,15.47,N/A
Nippon India Consumption Reg,Regular,Equity: Thematic (Infra),2474,102751,INF204K01AQ4,-3.04,0.8,0.35,15.43,11.36,0.39,42,51.59%,32.89%,89.28%,6.36,37.2,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,10.7,18.26,N/A,10.42,15.47,N/A
Nippon India ETF Nifty India Consumption,Regular,Equity: Thematic (Infra),25700,128331,INF204KA1LD7,-0.58,0.82,0.51,15.86,14.07,0.59,30,60.56%,40.00%,83.35%,6.64,31.8,4,6,3,5,1,19,Moderately High Risk,N/A,N/A,N/A,N/A,9.05,22.47,N/A,10.42,15.47,N/A
Quant Consumption Reg,Regular,Equity: Thematic (Infra),44051,152338,INF966L01DI7,--,--,--,--,--,--,16,77.76%,44.20%,89.13%,3.66,37.85,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,15.13,N/A,N/A,10.42,N/A,N/A
SBI Consumption Opportunities Reg,Regular,Equity: Thematic (Infra),630,120576,INF200K01VR6,-4.5,0.83,0.26,15.81,10.17,0.32,46,41.23%,22.14%,78.77%,6.94,44.84,2,4,3,5,1,15,Moderately High Risk,N/A,N/A,N/A,N/A,9.09,12.33,N/A,10.42,15.47,N/A
SBI Nifty Consumption ETF,Regular,Equity: Thematic (Infra),41572,149041,INF200KA1X17,-0.53,0.83,0.51,15.88,14.13,0.6,30,60.57%,40.01%,83.38%,6.64,31.81,2,4,3,4,1,14,Moderately High Risk,N/A,N/A,N/A,N/A,11.25,10.78,8.26,10.42,15.47,13.24
SBI Nifty India Consmpn Index Reg,Regular,Equity: Thematic (Infra),44670,153012,INF200KB1415,--,--,--,--,--,--,30,60.63%,40.05%,83.48%,7.14,33.57,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,8.8,15.62,13.51,10.42,15.47,13.24
Sundaram Consumption Reg,Regular,Equity: Thematic (Infra),3268,102142,INF903J01561,-2.82,0.82,0.36,15.68,11.74,0.42,27,61.17%,39.85%,82.27%,5.91,31.47,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,8.88,N/A,N/A,10.42,N/A,N/A
Tata BSE Multicap Consmpn 50:30:20 Index Reg,Regular,Equity: Thematic (Infra),45703,154064,INF277KA1EM5,--,--,--,--,--,--,100,34.54%,22.63%,84.70%,5.69,25.22,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,16.67,N/A,N/A,10.42,N/A,N/A
Tata India Consumer Reg,Regular,Equity: Thematic (Infra),31358,135804,INF277K010A2,-0.39,0.79,0.51,15.51,13.93,0.62,33,51.36%,31.28%,76.42%,8.26,44.08,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,13.21,19.24,16.24,10.42,15.47,13.24
Union Consumption Reg,Regular,Equity: Thematic (Infra),45667,154022,INF582M01MD2,--,--,--,--,--,--,50,44.98%,28.15%,75.60%,6.47,42.72,2,4,3,5,1,15,Moderately High Risk,N/A,N/A,N/A,N/A,13.71,18.46,N/A,10.42,15.47,N/A
UTI India Consumer Reg,Regular,Equity: Thematic (Infra),5437,106425,INF789F01CE6,-3.29,0.84,0.35,15.89,11.57,0.4,41,56.29%,38.78%,82.35%,6.45,37.97,4,6,3,5,1,19,Moderately High Risk,N/A,N/A,N/A,N/A,13.83,N/A,N/A,10.42,N/A,N/A
WhiteOak Capital Consumption Opportunities Reg,Regular,Equity: Thematic (Infra),45779,154162,INF03VN01AE1,--,--,--,--,--,--,45,46.92%,31.70%,76.24%,6.4,41.76,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,8.13,N/A,N/A,10.42,N/A,N/A
ABSL ESG Integration Strategy Reg,Regular,Equity: Thematic (ESG),41219,148635,INF209KB1U43,0.25,0.98,0.41,14.46,11.93,0.5,56,40.00%,25.36%,74.62%,3.44,24.01,2,2,3,5,1,13,Moderately High Risk,N/A,N/A,N/A,N/A,11.79,13.62,N/A,10.42,15.47,N/A
Axis ESG Integration Strategy Reg,Regular,Equity: Thematic (ESG),40534,147929,INF846K01W56,-1.28,0.91,0.3,13.2,9.99,0.38,37,46.44%,28.69%,59.64%,3.05,21.12,4,6,3,5,1,19,Moderately High Risk,N/A,N/A,N/A,N/A,10.76,16.04,N/A,10.42,15.47,N/A
Baroda BNP Paribas ESG Best-in-class strategy Reg,Regular,Equity: Thematic (ESG),45835,154194,INF251K01VM0,--,--,--,--,--,--,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,6.8,N/A,N/A,10.42,N/A,N/A
ICICI Pru ESG Exclusionary Strategy,Regular,Equity: Thematic (ESG),41125,148517,INF109KC1N75,2.44,0.96,0.56,14.14,13.95,0.77,50,N/A,N/A,N/A,N/A,24.5,2,4,3,5,1,15,Moderately High Risk,N/A,N/A,N/A,N/A,7.91,N/A,N/A,10.42,N/A,N/A
Invesco India ESG Integration Strategy Reg,Regular,Equity: Thematic (ESG),41337,148753,INF205KA1304,-3.14,0.99,0.17,14.73,8.55,0.21,40,46.54%,28.23%,75.21%,3.87,26.52,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,10.11,15.26,N/A,10.42,15.47,N/A
Kotak ESG Exclusionary Strategy Reg,Regular,Equity: Thematic (ESG),41200,148602,INF174KA1FF0,-0.7,0.95,0.35,13.55,10.79,0.4,48,46.57%,27.54%,64.96%,3.28,21.63,4,6,3,5,1,19,Moderately High Risk,N/A,N/A,N/A,N/A,11.71,N/A,N/A,10.42,N/A,N/A
Mirae Asset Nifty 100 ESG Sector Leaders ETF,Regular,Equity: Thematic (ESG),41157,148572,INF769K01GS9,-0.9,0.95,0.34,13.32,10.58,0.43,64,55.82%,41.17%,71.01%,3.03,21.45,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,13.56,N/A,N/A,10.42,N/A,N/A
Mirae Asset Nifty 100 ESG Sector Leaders FoF Reg,Regular,Equity: Thematic (ESG),41158,148576,INF769K01GN0,-1.34,0.95,0.31,13.35,10.13,0.39,N/A,N/A,N/A,N/A,N/A,N/A,2,4,3,5,1,15,Moderately High Risk,N/A,N/A,N/A,N/A,7.97,12.26,N/A,10.42,15.47,N/A
Quant ESG Integration Strategy Reg,Regular,Equity: Thematic (ESG),41163,148560,INF966L01AB8,0.52,1.13,0.39,17.96,13.05,0.57,22,66.35%,40.95%,73.59%,3.21,32.22,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,8.72,18.11,15.74,10.42,15.47,13.24
Quantum ESG Best In Class Strategy Reg,Regular,Equity: Thematic (ESG),40009,147371,INF082J01390,-2.94,1,0.19,14.58,8.85,0.22,53,34.26%,20.20%,69.61%,4.32,30.46,6,4,3,3,1,17,Moderately High Risk,N/A,N/A,N/A,N/A,13.47,20.84,17.99,10.42,15.47,13.24
SBI ESG Exclusionary Strategy Reg,Regular,Equity: Thematic (ESG),190,104523,INF200K01214,-1.07,0.97,0.32,13.88,10.53,0.36,41,50.60%,31.93%,63.86%,3.49,24.55,4,2,4,4,1,15,Moderately High Risk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WhiteOak Capital ESG Best-In-Class Strategy Reg,Regular,Equity: Thematic (ESG),44644,152963,INF03VN01969,--,--,--,--,--,--,63,45.98%,31.14%,65.81%,3.96,26.74,1,1,1,1,1,5,High Risk,N/A,N/A,N/A,N/A,20.5,N/A,N/A,10.42,N/A,N/A
ABSL CRISIL 10 Year Gilt ETF,Regular,Debt: Others (Structured/Credit),44486,152802,INF209KC1142,--,--,--,--,--,--,N/A,N/A,N/A,N/A,N/A,N/A,8,6,3,3,1,21,Moderate Risk,7.14,6.97,9.52,GOI/Cash,13.63,17,N/A,10.42,15.47,N/A
