Fund Name,Plan,Category,VR ID,ISIN,Scheme Code,Mapping Status,Alpha,Beta,Sharpe,Std Dev,Mean Return,Sortino,"Alpha Score
(/12)","Sharpe Score
(/12)","Std Dev Score
(/6)","Beta Score
(/6)","Sortino Score
(/4)","TOTAL
(/40)",RISK CATEGORY,Verification Status,Note,Return_1Y,Return_3Y,Return_5Y,Return_7Y,Return_10Y,Benchmark_Name,BM_Return_1Y,BM_Return_3Y,BM_Return_5Y,BM_Return_7Y,BM_Return_10Y
360 ONE ELSS Tax Saver Nifty 50 Index Dir,Direct,ELSS (Tax Saver),42908,INF579M01AN2,151165,NAV-verified,-2.24,0.88,0.31,13.26,10.16,0.39,2,2,4,4,1,13,Moderately High Risk,OK,Verified ✓,8.34,11.86,N/A,N/A,N/A,BSE 500 TRI,10.42,15.47,N/A,N/A,N/A
ABSL ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15889,INF209K01UN8,119544,NAV-verified,0.55,0.93,0.53,13.76,13.25,0.66,6,6,4,4,1,21,Moderate Risk,OK,Verified ✓,14.39,15.88,9.87,10.2,12.08,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Axis ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15688,INF846K01EW2,120503,NAV-verified,0.22,0.92,0.48,14.32,12.88,0.63,6,4,3,4,1,18,Moderately High Risk,OK,Verified ✓,6.56,14.76,8.98,11.94,13.26,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Bajaj Finserv ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),44856,INF0QA701AK0,153201,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,8.6,N/A,N/A,N/A,N/A,BSE 500 TRI,10.42,N/A,N/A,N/A,N/A
Bandhan ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16493,INF194K01Y29,118473,NAV-verified,0.66,0.9,0.53,13.37,13.16,0.65,6,6,4,4,1,21,Moderate Risk,OK,Verified ✓,11.19,15.57,15.15,16.2,16.6,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Bank of Ind Midcap Tax 2 Dir,Direct,ELSS (Tax Saver),36922,INF209KB1W74,148807,NAV-verified,1.29,1.1,0.53,17.3,15.24,0.7,6,6,2,2,1,17,Moderately High Risk,OK,Verified ✓,18.05,17.8,13.78,16.95,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Bank of India ELSS Tax Saver Fund Dir,Direct,ELSS (Tax Saver),16803,INF761K01884,119351,NAV-verified,2.53,1.07,0.6,17.05,16.27,0.81,8,6,2,2,2,20,Moderate Risk,OK,Verified ✓,14.64,18.31,15.62,19.16,17.8,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Bank of India Midcap Tax Sr 1 Dir,Direct,ELSS (Tax Saver),34774,INF761K01DS3,141950,NAV-verified,1.89,1.1,0.56,17.63,15.87,0.71,8,6,2,2,1,19,Moderately High Risk,OK,Verified ✓,21.26,18.23,14.33,17.85,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Baroda BNP Paribas ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15732,INF251K01HF3,150159,NAV-verified,3.94,0.96,0.74,14.64,16.87,0.93,10,8,3,3,2,26,Moderate Risk,OK,Verified ✓,14.04,19.69,14.88,15.77,14.38,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Canara Robeco ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16594,INF760K01EL8,118285,NAV-verified,0.48,0.94,0.52,13.9,13.29,0.63,6,6,4,4,1,21,Moderate Risk,OK,Verified ✓,12.14,15.65,13.75,16.17,16.09,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
DSP ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16454,INF740K01OK1,119242,NAV-verified,3.57,1.01,0.72,15.18,16.88,0.88,10,8,3,3,2,26,Moderate Risk,OK,Verified ✓,9,19.61,16.35,17.06,17,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Edelweiss ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),17762,INF754K01CA8,118620,NAV-verified,1.97,0.98,0.62,14.64,15.1,0.77,8,6,3,3,1,21,Moderate Risk,OK,Verified ✓,15.96,17.77,14.94,15.04,14.34,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Franklin India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16014,INF090I01JS8,118540,NAV-verified,2.11,0.95,0.63,14.16,15,0.78,8,6,3,4,1,22,Moderate Risk,OK,Verified ✓,6.54,17.36,15.64,14.61,14.09,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Groww ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),34683,INF666M01DK7,141808,NAV-verified,-1.1,0.99,0.4,15.13,12.05,0.46,4,4,3,3,1,15,Moderately High Risk,OK,Verified ✓,10,13.92,11.75,11.93,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
HDFC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16160,INF179K01YS4,119060,NAV-verified,4.18,0.89,0.79,13.43,16.66,0.93,10,8,4,4,2,28,Low Risk,OK,Verified ✓,8.22,19.51,18.82,15.19,15.34,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
HSBC ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16200,INF917K01GP0,151078,NAV-verified,3.13,1.01,0.66,15.68,16.45,0.77,10,8,3,3,1,25,Moderate Risk,OK,Verified ✓,13.91,19.38,14.6,14.43,14.77,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
ICICI Pru ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15862,INF109K01Y31,120592,NAV-verified,1.65,0.89,0.6,13.41,14.07,0.76,8,6,4,4,1,23,Moderate Risk,OK,Verified ✓,9.8,16.53,14.05,14.04,14.53,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
ICICI Pru Long Term Wealth Enhancement Dir,Direct,ELSS (Tax Saver),34952,INF109KC1093,142134,NAV-verified,3.2,0.9,0.69,13.91,15.69,0.88,10,8,4,4,2,28,Low Risk,OK,Verified ✓,10.18,18.5,17.06,15.3,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
ITI ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),40137,INF00XX01390,147541,NAV-verified,2.28,1.13,0.59,17.55,16.46,0.73,8,6,2,2,1,19,Moderately High Risk,OK,Verified ✓,11.94,19.91,13.95,N/A,N/A,BSE 500 TRI,10.42,15.47,13.24,N/A,N/A
Invesco India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16849,INF205K01NT8,120416,NAV-verified,-0.07,1.02,0.47,15.64,13.35,0.56,4,4,3,3,1,15,Moderately High Risk,OK,Verified ✓,5.28,15.86,12.18,13.63,14.65,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
JM ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16552,INF192K01CE3,120494,NAV-verified,2.82,1.03,0.64,16.09,16.29,0.83,8,6,3,3,2,22,Moderate Risk,OK,Verified ✓,9.44,18.82,15.53,16.44,17.07,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Kotak ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16380,INF174K01LI3,119773,NAV-verified,0.14,0.96,0.48,14.6,13.1,0.54,6,4,3,3,1,17,Moderately High Risk,OK,Verified ✓,10.03,15.45,14.45,15.69,16.02,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
LIC MF ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16868,INF767K01EM1,120270,NAV-verified,-0.6,0.94,0.43,14.43,12.17,0.5,4,4,3,4,1,16,Moderately High Risk,OK,Verified ✓,3.51,14.53,12.84,12.78,12.91,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Mahindra Manulife ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),32895,INF174V01093,139781,NAV-verified,-0.31,0.93,0.46,13.75,12.4,0.58,4,4,4,4,1,17,Moderately High Risk,OK,Verified ✓,8.32,14.12,14.1,14.75,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Mirae Asset ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),31318,INF769K01DM9,135781,NAV-verified,1.11,1,0.56,14.76,14.34,0.66,6,6,3,3,1,19,Moderately High Risk,OK,Verified ✓,13.91,17.01,14.31,16.76,18.86,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Motilal Oswal ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),29162,INF247L01569,133386,NAV-verified,7.31,1.08,0.77,19.55,21.11,0.9,12,8,2,2,2,26,Moderate Risk,OK,Verified ✓,21.99,25.42,19.47,18.47,18.57,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
NJ ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),43365,INF0J8L01115,151611,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,6.99,N/A,N/A,N/A,N/A,BSE 500 TRI,10.42,N/A,N/A,N/A,N/A
Navi ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),31265,INF959L01CD5,135654,NAV-verified,-1.64,0.96,0.36,14.49,11.3,0.48,4,4,3,3,1,15,Moderately High Risk,OK,Verified ✓,7.64,13.01,11.65,11.55,12.9,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Navi ELSS Tax Saver Nifty 50 Index Dir,Direct,ELSS (Tax Saver),43191,INF959L01GR6,151471,NAV-verified,-2.26,0.89,0.31,13.33,10.16,0.38,2,2,4,4,1,13,Moderately High Risk,OK,Verified ✓,8.35,11.88,N/A,N/A,N/A,BSE 500 TRI,10.42,15.47,N/A,N/A,N/A
Nippon India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16186,INF204K01L55,118803,NAV-verified,2.56,0.97,0.66,14.45,15.58,0.88,8,8,3,3,2,24,Moderate Risk,OK,Verified ✓,12.39,18.03,15.52,12.97,12.39,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
PGIM India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),31167,INF663L01FN5,135601,NAV-verified,-3.09,0.9,0.25,13.81,9.46,0.31,2,2,4,4,1,13,Moderately High Risk,OK,Verified ✓,4.96,11.3,12.86,14,14.5,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Parag Parikh ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),40105,INF879O01100,147481,NAV-verified,1.91,0.72,0.64,11.15,13.16,0.82,8,6,5,6,2,27,Low Risk,OK,Verified ✓,4.72,15.38,16.15,N/A,N/A,BSE 500 TRI,10.42,15.47,13.24,N/A,N/A
Quant ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),17381,INF966L01986,120847,NAV-verified,1.76,1.07,0.56,16.93,15.54,0.9,8,6,3,2,2,21,Moderate Risk,OK,Verified ✓,16.48,18.11,18.39,23.35,21.11,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Quantum ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),10080,INF082J01069,111549,NAV-verified,1.49,0.86,0.59,13.1,13.75,0.72,6,6,4,4,1,21,Moderate Risk,OK,Verified ✓,4.42,15.88,12.83,11.97,12.66,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
SBI ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16244,INF200K01UM9,119723,NAV-verified,5.96,1,0.87,15.11,19.21,1.09,12,10,3,3,2,30,Low Risk,OK,Verified ✓,9.48,22.05,18.81,17.35,15.77,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
SBI Long Term Advantage Sr IV Dir,Direct,ELSS (Tax Saver),33323,INF200KA1LS9,140487,NAV-verified,0.57,0.91,0.46,15.32,13.14,0.6,6,4,3,4,1,18,Moderately High Risk,OK,Verified ✓,11.93,15.28,17.35,21.01,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
SBI Long Term Advantage Sr V Dir,Direct,ELSS (Tax Saver),34960,INF200KA1RW8,142138,NAV-verified,5.81,0.96,0.82,15.52,18.76,1.02,12,10,3,3,2,30,Low Risk,OK,Verified ✓,11.41,22.4,17.36,17.25,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
SBI Long Term Advantage Sr VI Dir,Direct,ELSS (Tax Saver),35971,INF200KA1TO1,143178,NAV-verified,0.14,1.08,0.47,16.96,13.93,0.55,6,4,3,2,1,16,Moderately High Risk,OK,Verified ✓,6.81,17.04,14.97,16.27,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Samco ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),42760,INF0K1H01065,150838,NAV-verified,-7.04,1.09,0.04,18.75,6.83,0.05,1,1,2,2,1,7,High Risk,OK,Verified ✓,9.85,7.44,N/A,N/A,N/A,BSE 500 TRI,10.42,15.47,N/A,N/A,N/A
Shriram ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),38439,INF680P01158,145819,NAV-verified,-3.12,1.02,0.26,16.39,10.27,0.3,2,2,3,3,1,11,High Risk,OK,Verified ✓,7.65,11.92,10.51,11.79,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Sundaram ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16650,INF173K01HZ7,149570,NAV-verified,-0.17,0.91,0.47,13.57,12.39,0.54,4,4,4,4,1,17,Moderately High Risk,OK,Verified ✓,8.61,14.7,13.75,13.46,13.86,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Sundaram Long Term Micro Cap Tax Advantage III Dir,Direct,ELSS (Tax Saver),32783,INF903JA1443,139711,NAV-verified,1.81,1,0.52,17.33,15.05,0.73,8,6,2,3,1,20,Moderate Risk,OK,Verified ✓,17.13,17.76,20.77,17.06,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Sundaram Long Term Micro Cap Tax Advantage IV Dir,Direct,ELSS (Tax Saver),33066,INF903JA1526,139990,NAV-verified,2.05,0.99,0.53,17.21,15.23,0.76,8,6,2,3,1,20,Moderate Risk,OK,Verified ✓,17.12,18.04,20.94,17.49,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Sundaram Long Term Micro Cap Tax Advantage V Dir,Direct,ELSS (Tax Saver),34226,INF903JA1955,141141,NAV-verified,2.52,0.99,0.56,17.12,15.69,0.79,8,6,2,3,1,20,Moderate Risk,OK,Verified ✓,17.71,18.42,20.78,17.58,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Sundaram Long Term Micro Cap Tax Advantage VI Dir,Direct,ELSS (Tax Saver),34431,INF903JA1AZ0,141564,NAV-verified,2.25,0.98,0.55,17.05,15.36,0.79,8,6,2,3,1,20,Moderate Risk,OK,Verified ✓,16.46,18.04,21.59,17.75,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Sundaram Long Term Tax Advantage III Dir,Direct,ELSS (Tax Saver),35008,INF903JA1BT1,142153,NAV-verified,3.19,0.97,0.61,16.73,16.25,0.86,10,6,3,3,2,24,Moderate Risk,OK,Verified ✓,19.6,19,21.81,18.35,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Sundaram Long Term Tax Advantage IV Dir,Direct,ELSS (Tax Saver),35873,INF903JA1CZ6,143079,NAV-verified,3.41,0.97,0.63,16.64,16.44,0.88,10,6,3,3,2,24,Moderate Risk,OK,Verified ✓,19.25,19.23,21.72,18.47,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Tata ELSS Dir,Direct,ELSS (Tax Saver),16739,INF277K01I86,132756,NAV-verified,1.26,0.99,0.56,14.87,14.41,0.7,6,6,3,3,1,19,Moderately High Risk,OK,Verified ✓,15.14,17.05,14.9,15.09,15.65,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Taurus ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16713,INF044D01CG6,118866,NAV-verified,-0.78,0.86,0.4,13.51,11.43,0.55,4,4,4,4,1,17,Moderately High Risk,OK,Verified ✓,4.18,13.66,12.65,12.54,14.08,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
UTI ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),15723,INF789F01TF7,120715,NAV-verified,-1.17,0.97,0.4,14.57,11.88,0.5,4,4,3,3,1,15,Moderately High Risk,OK,Verified ✓,7.32,13.84,11.42,13.28,13.37,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Union ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16436,INF582M01765,119307,NAV-verified,0.33,0.93,0.5,14,13.07,0.58,6,6,4,4,1,21,Moderate Risk,OK,Verified ✓,11.81,15.27,14.07,15.32,13.94,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
WhiteOak Capital ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),42487,INF03VN01621,150587,NAV-verified,5.07,0.93,0.83,14.3,17.83,1.04,12,10,3,4,2,31,Low Risk,OK,Verified ✓,10.4,20.93,N/A,N/A,N/A,BSE 500 TRI,10.42,15.47,N/A,N/A,N/A
Zerodha ELSS Tax Saver Nifty Large Midcap 250 Index Dir,Direct,ELSS (Tax Saver),43847,INF0R8F01026,152157,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,13.52,N/A,N/A,N/A,N/A,BSE 500 TRI,10.42,N/A,N/A,N/A,N/A
360 ONE Flexicap Dir,Direct,Flexi Cap,43547,INF579M01AS1,151796,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,10.71,N/A,N/A,N/A,N/A,BSE 500 TRI,10.42,N/A,N/A,N/A,N/A
360 ONE Focused Dir,Direct,Flexi Cap,28458,INF579M01902,131580,NAV-verified,0.06,0.92,0.48,13.95,12.74,0.6,6,4,4,4,1,19,Moderately High Risk,OK,Verified ✓,8.77,15.24,14.72,17.47,17.55,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
ABSL BSE 500 Momentum 50 Index Fund Dir,Direct,Flexi Cap,45377,INF209KC1589,153736,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,N/A,N/A,N/A,N/A,N/A,BSE 500 TRI,N/A,N/A,N/A,N/A,N/A
ABSL BSE 500 Quality 50 Index Dir,Direct,Flexi Cap,45381,INF209KC1613,153740,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,N/A,N/A,N/A,N/A,N/A,BSE 500 TRI,N/A,N/A,N/A,N/A,N/A
ABSL Bal Bhavishya Yojna Dir,Direct,Flexi Cap,38821,INF209KB1E84,146407,NAV-verified,0.16,0.94,0.49,14.22,12.99,0.61,6,4,3,4,1,18,Moderately High Risk,OK,Verified ✓,14.99,15.82,10.6,10.74,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
ABSL Flexi Cap Dir,Direct,Flexi Cap,15741,INF209K01XX1,120564,NAV-verified,3.02,0.95,0.7,14.03,15.91,0.89,10,8,3,4,2,27,Low Risk,OK,Verified ✓,15.37,18.77,14.42,14.71,15.62,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
ABSL Focused Dir,Direct,Flexi Cap,15883,INF209K01WE3,119564,NAV-verified,2.26,0.91,0.65,13.62,14.86,0.87,8,8,4,4,2,26,Moderate Risk,OK,Verified ✓,13.96,17.23,14.03,14.17,14.38,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
ABSL Retirement 30s Dir,Direct,Flexi Cap,39181,INF209KB1I23,146575,NAV-verified,1.84,0.94,0.6,14.35,14.66,0.77,8,6,3,4,1,22,Moderate Risk,OK,Verified ✓,19.95,17.78,11.96,11.82,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Abakkus Flexi Cap Dir,Direct,Flexi Cap,45683,INF2JJD01136,154043,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,N/A,N/A,N/A,N/A,N/A,BSE 500 TRI,N/A,N/A,N/A,N/A,N/A
Angel One Nifty Total Market ETF,Direct,Flexi Cap,44964,INF1J2R01023,153330,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,10.47,N/A,N/A,N/A,N/A,BSE 500 TRI,10.42,N/A,N/A,N/A,N/A
Angel One Nifty Total Market Index Dir,Direct,Flexi Cap,44963,INF1J2R01023,153330,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,10.37,N/A,N/A,N/A,N/A,BSE 500 TRI,10.42,N/A,N/A,N/A,N/A
Angel One Nifty Total Market Momentum Quality 50 ETF,Direct,Flexi Cap,45605,INF1J2R01122,153956,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,N/A,N/A,N/A,N/A,N/A,BSE 500 TRI,N/A,N/A,N/A,N/A,N/A
Angel One Nifty Total Market Momentum Quality 50 Index Dir,Direct,Flexi Cap,45607,INF1J2R01122,153956,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,N/A,N/A,N/A,N/A,N/A,BSE 500 TRI,N/A,N/A,N/A,N/A,N/A
Axis Flexi Cap Dir,Direct,Flexi Cap,34711,INF846K01B28,141925,NAV-verified,0.31,0.97,0.5,14.73,13.33,0.58,6,6,3,3,1,19,Moderately High Risk,OK,Verified ✓,10.81,15.81,11.54,13.72,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Axis Focused Dir,Direct,Flexi Cap,15684,INF846K01CQ8,120468,NAV-verified,-2.3,0.92,0.3,14.49,10.41,0.42,2,2,3,4,1,12,High Risk,OK,Verified ✓,3.61,12.04,6.85,10.34,12.94,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Axis Nifty 500 Index Dir,Direct,Flexi Cap,44413,INF846K019W9,152731,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,10.5,N/A,N/A,N/A,N/A,BSE 500 TRI,10.42,N/A,N/A,N/A,N/A
Axis Nifty500 Momentum 50 Index Dir,Direct,Flexi Cap,44905,INF846KA1044,153244,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,15.51,N/A,N/A,N/A,N/A,BSE 500 TRI,10.42,N/A,N/A,N/A,N/A
Axis Nifty500 Quality 50 Index Dir,Direct,Flexi Cap,45468,INF846KA1200,153829,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,N/A,N/A,N/A,N/A,N/A,BSE 500 TRI,N/A,N/A,N/A,N/A,N/A
Bajaj Finserv Flexi Cap Dir,Direct,Flexi Cap,43653,INF0QA701342,151895,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,16.34,N/A,N/A,N/A,N/A,BSE 500 TRI,10.42,N/A,N/A,N/A,N/A
Bandhan Flexi Cap Dir,Direct,Flexi Cap,16501,INF194K01W62,118424,NAV-verified,1.28,0.87,0.58,13.12,13.61,0.7,6,6,4,4,1,21,Moderate Risk,OK,Verified ✓,11.06,15.87,13,12.52,12.18,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Bandhan Focused Dir,Direct,Flexi Cap,16507,INF194K01W21,118421,NAV-verified,3.67,0.94,0.68,15.48,16.49,0.87,10,8,3,4,2,27,Low Risk,OK,Verified ✓,13.11,19.17,14.42,14.28,15.04,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Bandhan Nifty 500 Momentum 50 Index Dir,Direct,Flexi Cap,44630,INF194KB1IY0,153003,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,15.19,N/A,N/A,N/A,N/A,BSE 500 TRI,10.42,N/A,N/A,N/A,N/A
Bandhan Nifty Alpha 50 Index Dir,Direct,Flexi Cap,43864,INF194KB1HA2,152177,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,14.18,N/A,N/A,N/A,N/A,BSE 500 TRI,10.42,N/A,N/A,N/A,N/A
Bandhan Nifty Total Mkt Index Dir,Direct,Flexi Cap,44403,INF194KB1IK9,152716,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,10.23,N/A,N/A,N/A,N/A,BSE 500 TRI,10.42,N/A,N/A,N/A,N/A
Bank of India Flexi Cap Dir,Direct,Flexi Cap,41018,INF761K01FF5,148404,NAV-verified,6.56,1.08,0.81,17.8,20.41,1.14,12,10,2,2,2,28,Low Risk,OK,Verified ✓,19.82,23.56,19.49,N/A,N/A,BSE 500 TRI,10.42,15.47,13.24,N/A,N/A
Baroda BNP Paribas Children's Dir,Direct,Flexi Cap,44780,INF251K01UE9,153171,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,17.56,N/A,N/A,N/A,N/A,BSE 500 TRI,10.42,N/A,N/A,N/A,N/A
Baroda BNP Paribas Flexi Cap Dir,Direct,Flexi Cap,42312,INF251K01QZ2,150387,NAV-verified,1.16,1,0.55,15.1,14.39,0.65,6,6,3,3,1,19,Moderately High Risk,OK,Verified ✓,10.29,16.59,N/A,N/A,N/A,BSE 500 TRI,10.42,15.47,N/A,N/A,N/A
Baroda BNP Paribas Focused Dir,Direct,Flexi Cap,34653,INF251K01PN0,150264,NAV-verified,-1.31,1.09,0.39,16.62,12.56,0.47,4,4,3,2,1,14,Moderately High Risk,OK,Verified ✓,5.85,13.76,12.41,13.42,N/A,BSE 500 TRI,10.42,15.47,13.24,13.98,N/A
Canara Robeco Flexi Cap Dir,Direct,Flexi Cap,16588,INF760K01FR2,118269,NAV-verified,0.35,0.93,0.51,13.86,13.12,0.61,6,6,4,4,1,21,Moderate Risk,OK,Verified ✓,11.4,15.44,13.32,15.04,15.66,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
Canara Robeco Focused Dir,Direct,Flexi Cap,41458,INF760K01JQ6,148883,NAV-verified,2.01,0.93,0.62,14.06,14.76,0.74,8,6,3,4,1,22,Moderate Risk,OK,Verified ✓,10.5,17.22,N/A,N/A,N/A,BSE 500 TRI,10.42,15.47,N/A,N/A,N/A
Capitalmind Flexi Cap Dir,Direct,Flexi Cap,45313,INF226401018,153738,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,N/A,N/A,N/A,N/A,N/A,BSE 500 TRI,N/A,N/A,N/A,N/A,N/A
DSP Flexi Cap Dir,Direct,Flexi Cap,16386,INF740K01PI2,119076,NAV-verified,1.5,0.99,0.58,14.97,14.69,0.73,8,6,3,3,1,21,Moderate Risk,OK,Verified ✓,8.97,17.19,13.34,15.38,15.69,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
DSP Focused Dir,Direct,Flexi Cap,16388,INF740K01OB0,119096,NAV-verified,3.26,0.98,0.68,15.19,16.38,0.9,10,8,3,3,2,26,Moderate Risk,OK,Verified ✓,8.07,19.04,12.98,13.72,13.49,BSE 500 TRI,10.42,15.47,13.24,13.98,14.69
DSP Nifty 500 Index Dir,Direct,Flexi Cap,45719,INF740KA1XY9,154088,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,N/A,N/A,N/A,N/A,N/A,BSE 500 TRI,N/A,N/A,N/A,N/A,N/A
DSP Nifty500 Flexicap Quality 30 ETF,Direct,Flexi Cap,45521,INF740KA1WR5,153801,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,N/A,N/A,N/A,N/A,N/A,BSE 500 TRI,N/A,N/A,N/A,N/A,N/A
DSP Nifty500 Flexicap Quality 30 Index Dir,Direct,Flexi Cap,45446,INF740KA1WR5,153801,NAV-verified,,,,,,,1,1,1,1,1,5,High Risk,OK,Verified ✓,N/A,N/A,N/A,N/A,N/A,BSE 500 TRI,N/A,N/A,N/A,N/A,N/A
